2020-07-20 13:13:00,806 | TrafficScript.py | INFO  | 程序开始时间：2020-07-20 13:13:00.805166
2020-07-20 13:13:01,191 | TrafficScript.py | INFO  | ['123.149.162.228:40989', '183.47.94.186:21418', '114.97.215.39:21932', '115.151.16.58:38703', '117.69.62.161:28803']
2020-07-20 13:13:03,337 | TrafficScript.py | INFO  | 123.149.162.228:40989 请求 http://www.ccccc.run 首页
2020-07-20 13:13:03,804 | TrafficScript.py | INFO  | 123.149.162.228:40989 失效，切换下一个
2020-07-20 13:13:03,804 | TrafficScript.py | INFO  | 123.149.162.228:40989请求完毕 关闭浏览器!
2020-07-20 13:13:28,630 | TrafficScript.py | INFO  | 程序开始时间：2020-07-20 13:13:28.629717
2020-07-20 13:13:28,938 | TrafficScript.py | INFO  | ['36.59.120.96:28803', '114.99.114.152:40515', '49.85.28.235:28803', '223.247.30.146:36508', '183.47.94.107:28803']
2020-07-20 13:13:31,680 | TrafficScript.py | INFO  | 49.85.28.235:28803 请求 http://www.ccccc.run 首页
2020-07-20 13:13:31,714 | TrafficScript.py | INFO  | 223.247.30.146:36508 请求 http://www.ccccc.run 首页
2020-07-20 13:13:31,749 | TrafficScript.py | INFO  | 183.47.94.107:28803 请求 http://www.ccccc.run 首页
2020-07-20 13:13:31,750 | TrafficScript.py | INFO  | 114.99.114.152:40515 请求 http://www.ccccc.run 首页
2020-07-20 13:13:31,756 | TrafficScript.py | INFO  | 36.59.120.96:28803 请求 http://www.ccccc.run 首页
2020-07-20 13:13:33,212 | TrafficScript.py | INFO  | 183.47.94.107:28803 失效，切换下一个
2020-07-20 13:13:33,212 | TrafficScript.py | INFO  | 183.47.94.107:28803请求完毕 关闭浏览器!
2020-07-20 13:13:40,333 | TrafficScript.py | INFO  | 36.59.120.96:28803 请求 http://www.ccccc.run 详情页中 预计112秒完成...
2020-07-20 13:13:44,259 | TrafficScript.py | INFO  | 49.85.28.235:28803 请求 http://www.ccccc.run 详情页中 预计131秒完成...
2020-07-20 13:13:44,279 | TrafficScript.py | INFO  | 223.247.30.146:36508 请求 http://www.ccccc.run 详情页中 预计119秒完成...
2020-07-20 13:13:44,908 | TrafficScript.py | INFO  | 114.99.114.152:40515 请求 http://www.ccccc.run 详情页中 预计121秒完成...
2020-07-20 13:14:24,342 | TrafficScript.py | INFO  | 36.59.120.96:28803 请求出错，切换下一个。
2020-07-20 13:14:31,892 | TrafficScript.py | INFO  | 49.85.28.235:28803 请求 http://www.dongdongmeiche.com 首页
2020-07-20 13:14:37,978 | TrafficScript.py | INFO  | 49.85.28.235:28803 请求 http://www.dongdongmeiche.com 详情页中 预计118秒完成...
2020-07-20 23:33:35,296 | TrafficScript.py | INFO  | 程序开始时间：2020-07-20 23:33:35.295113
2020-07-20 23:33:35,630 | TrafficScript.py | INFO  | ['113.74.33.106:28803', '1.180.164.67:30452', '125.78.13.246:25184', '119.133.86.89:30880', '113.65.232.173:16965']
2020-07-20 23:33:38,155 | TrafficScript.py | INFO  | 113.74.33.106:28803 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:33:39,712 | TrafficScript.py | INFO  | 113.74.33.106:28803 失效，切换下一个
2020-07-20 23:33:39,712 | TrafficScript.py | INFO  | 113.74.33.106:28803请求完毕 关闭浏览器!
2020-07-20 23:34:00,317 | TrafficScript.py | INFO  | 程序开始时间：2020-07-20 23:34:00.316145
2020-07-20 23:34:00,642 | TrafficScript.py | INFO  | ['218.95.54.216:30290', '117.23.18.45:31726', '113.121.21.105:23023', '221.9.14.131:30825', '114.233.8.241:28803']
2020-07-20 23:34:05,473 | TrafficScript.py | INFO  | 117.23.18.45:31726 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:34:06,271 | TrafficScript.py | INFO  | 113.121.21.105:23023 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:34:06,658 | TrafficScript.py | INFO  | 221.9.14.131:30825 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:34:06,729 | TrafficScript.py | INFO  | 114.233.8.241:28803 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:34:06,846 | TrafficScript.py | INFO  | 218.95.54.216:30290 请求 https://www.visvn.cn/c.php?id=7317 首页
2020-07-20 23:34:07,707 | TrafficScript.py | INFO  | 113.121.21.105:23023 失效，切换下一个
2020-07-20 23:34:07,708 | TrafficScript.py | INFO  | 113.121.21.105:23023请求完毕 关闭浏览器!
2020-07-20 23:34:07,737 | TrafficScript.py | INFO  | 114.233.8.241:28803 失效，切换下一个
2020-07-20 23:34:07,738 | TrafficScript.py | INFO  | 114.233.8.241:28803请求完毕 关闭浏览器!
2020-07-20 23:34:07,809 | TrafficScript.py | INFO  | 221.9.14.131:30825 失效，切换下一个
2020-07-20 23:34:07,809 | TrafficScript.py | INFO  | 221.9.14.131:30825请求完毕 关闭浏览器!
2020-07-20 23:34:07,862 | TrafficScript.py | INFO  | 218.95.54.216:30290 失效，切换下一个
2020-07-20 23:34:07,862 | TrafficScript.py | INFO  | 218.95.54.216:30290请求完毕 关闭浏览器!
2020-07-20 23:37:40,982 | TrafficScript.py | INFO  | 程序开始时间：2020-07-20 23:37:40.979024
2020-07-20 23:37:41,271 | TrafficScript.py | INFO  | ['113.110.56.231:34282']
2020-07-20 23:37:43,665 | TrafficScript.py | INFO  | 113.110.56.231:34282 请求 https://www.visvn.cn/c.php?id=7317 首页
