2020-07-15 13:24:18,195 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 13:24:18.195615
2020-07-15 13:24:18,289 | 短信模块.py | INFO  | 通知短信发送成功：18210836362【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 13:24:18,289 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 13:24:18.289685
2020-07-15 13:24:18,289 | 短信模块.py | INFO  | 程序执行用时：0:00:00.094070s
2020-07-15 13:24:18,290 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 13:24:18.290685
2020-07-15 13:24:18,393 | 短信模块.py | INFO  | 通知短信发送成功：18210788973【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 13:24:18,393 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 13:24:18.393762
2020-07-15 13:24:18,394 | 短信模块.py | INFO  | 程序执行用时：0:00:00.103077s
2020-07-15 14:31:21,434 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:31:21.433582
2020-07-15 14:31:21,494 | 短信模块.py | INFO  | 通知短信发送成功：18210836362【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:31:21,495 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:31:21.495250
2020-07-15 14:31:21,495 | 短信模块.py | INFO  | 程序执行用时：0:00:00.061668s
2020-07-15 14:31:21,495 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:31:21.495250
2020-07-15 14:31:21,535 | 短信模块.py | INFO  | 通知短信发送成功：16210788973【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:31:21,535 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:31:21.535277
2020-07-15 14:31:21,535 | 短信模块.py | INFO  | 程序执行用时：0:00:00.040027s
2020-07-15 14:33:14,911 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:33:14.911908
2020-07-15 14:33:15,002 | 短信模块.py | INFO  | 通知短信发送成功：18210836362【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:33:15,002 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:33:15.002975
2020-07-15 14:33:15,002 | 短信模块.py | INFO  | 程序执行用时：0:00:00.091067s
2020-07-15 14:33:15,002 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:33:15.002975
2020-07-15 14:33:15,098 | 短信模块.py | INFO  | 通知短信发送成功：18141920036【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:33:15,099 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:33:15.099154
2020-07-15 14:33:15,099 | 短信模块.py | INFO  | 程序执行用时：0:00:00.096179s
2020-07-15 14:38:49,263 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:38:49.263608
2020-07-15 14:38:49,329 | 短信模块.py | INFO  | 通知短信发送成功：18210836362【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:38:49,330 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:38:49.330156
2020-07-15 14:38:49,330 | 短信模块.py | INFO  | 程序执行用时：0:00:00.066548s
2020-07-15 14:50:09,438 | 短信模块.py | INFO  | 程序开始时间：2020-07-15 14:50:09.438983
2020-07-15 14:50:09,512 | 短信模块.py | INFO  | 通知短信发送成功：18210836362【智能航班】IP账号：ba618b3e3adc4e7c93127546d58502a5 即将到期及时续费!
2020-07-15 14:50:09,512 | 短信模块.py | INFO  | 程序结束时间：2020-07-15 14:50:09.512550
2020-07-15 14:50:09,512 | 短信模块.py | INFO  | 程序执行用时：0:00:00.073567s
