行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
龙马潭区,泸州临港投资集团有限公司,泸州市龙马潭区鱼塘街道金井路东北侧,其他普通商品住房用地,房地产业,13.518500,拍卖出让,70,101388.7500,下限:1.00上限:2.30,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0e47bba9-dbfc-44c3-89a7-960120abaacf,2020-08-26 11:29:08
龙马潭区,泸州临港投资集团有限公司,泸州市鱼塘街道苏香路东侧,其他普通商品住房用地,房地产业,5.124300,拍卖出让,70,34589.0250,下限:1.00上限:2.50,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16c75574-7ccd-4647-83a0-f3c8e18cd43c,2020-08-26 11:29:11
龙马潭区,泸州临港投资集团有限公司,泸州市龙马潭区高坝北方路南侧,其他普通商品住房用地,房地产业,4.326700,拍卖出让,70,25960.2000,下限:1.00上限:1.80,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1ed88e71-5ae9-4498-9ef8-25abf941f6b5,2020-08-26 11:29:14
龙马潭区,泸州临港投资集团有限公司,罗汉街道中海金象北侧,仓储用地,仓储业,14.510000,挂牌出让,50,5441.2500,下限:0.00上限:2.20,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=26cc9403-453e-47d3-bd5e-4d620ec471b1,2020-08-26 11:29:16
龙马潭区,泸州临港投资集团有限公司,泸州市龙马潭区高坝安和路南侧,其他普通商品住房用地,房地产业,11.504400,拍卖出让,70,69026.4000,下限:1.00上限:1.80,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=414e83e8-d786-47ac-afa7-21a5830fafdb,2020-08-26 11:29:19
龙马潭区,泸州临港驿通供应链管理有限公司,长开区九港路南侧,仓储用地,仓储业,2.849200,挂牌出让,50,897.4980,下限:0.00上限:2.20,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d55e141-3dba-459f-bd2f-d5597d457300,2020-08-26 11:29:21
岳池县,县城区YCP-2018-10号地块房地产开发项目·李平,岳池县翔凤大道东侧与银城大道北侧交叉处（详见勘测定界图）,中低价位、中小套型普通商品住房用地,房地产业,4.183236,拍卖出让,70,18700.0000,下限:1.00上限:2.20,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=57a5a692-cf07-4010-8b3f-c1d6ec8721ac,2020-08-26 11:29:24
岳池县,县城区YCP-2018-8号地块房地产开发项目·四川龙鑫明湖置业有限公司,岳池县广岳大道与花田路交叉处、站前景观大道与花田路之间（详见勘测定界图）,中低价位、中小套型普通商品住房用地,房地产业,6.966071,拍卖出让,其他商服用地40年;中低价位、中小套型普通商品住房用地70年;,42300.0000,下限:1.00上限:2.50,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=acb90c0e-8bcf-4fd4-9428-fd021a044b89,2020-08-26 11:29:27
旌阳区,锦利-锦城壹號,孝感镇长白山路与青衣江路交汇处西北角,其他普通商品住房用地,房地产业,7.514217,拍卖出让,70,20401.0992,下限:1.00上限:2.50,2018年12月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=00fa1a8f-b5ea-44aa-adfd-1500d0828cdd,2020-08-26 11:29:29
自贡市本级,大安区大山铺组团B-29-2地块,燎北路北侧，新民镇燎原村7、8、16组，团结镇莲花村8组,其他商服用地,商务服务业,6.989100,挂牌出让,40,6290.2200,下限:上限:1.00,2018年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=13de61df-c8b2-4249-aeae-b1e29b2bf957,2020-08-26 11:29:32
会理县,E-15地块,会理县南街街道果元村2组,其他普通商品住房用地,房地产业,0.301729,拍卖出让,其他普通商品住房用地70年;批发零售用地40年;,1618.0000,下限:1.20上限:4.00,2018年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c4357a2-dc46-4364-96ad-8d89afe08e5b,2020-08-26 11:29:35
广安市本级,作为制造业项目用地,港前大道与小平大道交汇处,工业用地,水泥及石膏制品制造,2.016300,挂牌出让,50,241.9560,下限:0.70上限:,2018年12月29日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=32b9ce35-554f-4930-93b1-ced3a24f1a18,2020-08-26 11:29:37
