行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
成都市本级,成都北上科技有限公司,高新区西区西园街道展望村6社、12社、村集体,工业用地,计算机服务业,1.793710,挂牌出让,20,484.3026,下限:1.00上限:3.00,2020年08月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=44b27536-8475-4927-8b21-a3c49c3cfcf1,2020-08-26 13:57:57
成都市本级,成都高新耘泽商业运营管理有限责任公司,高新区西区西园街道清水村1组、11组、村集体,工业用地,电信和其他信息传输服务业,4.000660,挂牌出让,20,1080.1782,下限:1.00上限:3.00,2020年08月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=91e83ed0-0a4a-43da-8276-c1e40aa22ad8,2020-08-26 13:58:00
雁江区,房地产,蜀乡大道东侧、纬二路北侧,城镇住宅用地,房地产业,3.737904,拍卖出让,70,15450.0000,下限:1.00上限:2.50,2020年08月28日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c29a95d7-aef5-4619-b91f-6bce05db0e65,2020-08-26 13:58:03
蒲江县,陕西龙记泰信房地产开发有限公司,蒲江县鹤山街道文靖大道南侧,城镇住宅用地,房地产业,4.098817,拍卖出让,70,20289.1590,下限:1.00上限:2.50,2020年08月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0f1066c0-c30a-4480-82da-8945445ae0e9,2020-08-26 13:58:05
雅安市本级,大兴片区10-12号地块国有建设用地使用权,雨城区大兴街道,其他商服用地,其他服务业,0.306440,拍卖出让,40,772.8000,下限:上限:1.50,2020年08月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2d884fab-cb1d-442b-9a3c-7a076fd32e4f,2020-08-26 13:58:07
成都市本级,金牛区金泉街道办事处跃进社区5、6、7、8组商服挂牌项目,金牛区金泉街道办事处跃进社区5、6、7、8组,其他商服用地,房地产业,8.744164,挂牌出让,40,96934.3526,下限:上限:0.73,2020年08月27日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d7826ea6-ef5d-4fe7-9116-139bedf2f9b8,2020-08-26 13:58:10
高县,杨俊波、杨航、胡海、马玉光,沙河镇天府村,城镇住宅用地,房地产业,5.790700,拍卖出让,70,3700.2573,下限:1.00上限:2.30,2020年08月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16d862db-fc7b-43b3-96a7-e152617b0ebb,2020-08-26 13:58:13
达州市本级,莲花湖西片区ⅢC1-2,达州嘉祥学校南侧,城镇住宅用地,房地产业,5.922100,拍卖出让,70,23184.6300,下限:1.00上限:1.50,2020年08月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cb9da614-a87f-4928-a158-250908cd97ba,2020-08-26 13:58:15
稻城县,稻城县新车站对面,稻城县新车站对面,其他商服用地,餐饮业,0.133334,挂牌出让,40,60.0000,下限:上限:2.50,2020年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1104d618-3227-4be5-b7a2-68bcc1ad4849,2020-08-26 13:58:18
东坡区,眉山同泰食品有限公司,尚义镇,工业用地,农副食品加工业,2.003800,挂牌出让,50,1203.0000,下限:1.00上限:,2020年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9b29f386-57a9-4542-a756-61c8eea3f4ea,2020-08-26 13:58:20
宣汉县,正原微玻纤五期,宣汉县普光微玻纤新材料产业园,工业用地,其它,10.365200,挂牌出让,10,543.4344,下限:0.70上限:,2020年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eab95c7a-1451-4ca1-b008-f64654da614e,2020-08-26 13:58:22
金堂县,中电建成都建筑工业化有限责任公司,成都环保应急产业功能区内（三溪片区），北临玉圣路，南临项目用地，西临公园绿地，东临公园绿地,工业用地,制造业,13.383761,挂牌出让,20,1463.5142,下限:1.00上限:3.00,2020年08月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17cbb795-4191-4ec5-bfcc-633249281fb8,2020-08-26 13:58:25
安岳县,岳394号,顺城大道北延线旁,零售商业用地,零售业,0.252000,拍卖出让,40,3150.0000,下限:上限:0.50,2020年08月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=538b7bcf-276b-4bc7-bf97-30415ee2a453,2020-08-26 13:58:28
