行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
高县,杨俊波、杨航、胡海、马玉光,沙河镇天府村,城镇住宅用地,房地产业,5.790700,拍卖出让,70,3700.2573,下限:1.00上限:2.30,2020年08月26日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16d862db-fc7b-43b3-96a7-e152617b0ebb,2020-08-24 18:38:28
宣汉县,正原微玻纤五期,宣汉县普光微玻纤新材料产业园,工业用地,其它,10.365200,挂牌出让,10,543.4344,下限:0.70上限:,2020年08月25日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eab95c7a-1451-4ca1-b008-f64654da614e,2020-08-24 18:38:31
金堂县,中电建成都建筑工业化有限责任公司,成都环保应急产业功能区内（三溪片区），北临玉圣路，南临项目用地，西临公园绿地，东临公园绿地,工业用地,制造业,13.383761,挂牌出让,20,1463.5142,下限:1.00上限:3.00,2020年08月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=17cbb795-4191-4ec5-bfcc-633249281fb8,2020-08-24 18:38:33
德阳市本级,EPE新材料技术开发及应用项目（华良）,市区岷山南路东侧,工业用地,塑料制品业,0.720268,挂牌出让,50,146.9347,下限:0.70上限:,2020年08月24日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c39cec8d-f3b2-4139-8c03-e0d688bd8fb8,2020-08-24 18:38:36
德昌县,德昌县K-2740号地块,德昌县东干道南延线东侧,城镇住宅用地,房地产业,4.007429,拍卖出让,城镇住宅用地70年;其他商服用地40年;,14000.0000,下限:1.00上限:2.00,2020年08月21日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b1e8ac93-1dee-480b-91ca-dcefaf473ff1,2020-08-24 18:38:38
青川县,青川县国资大厦建设项目,青川县城新城区北井坝组团(北井坝大桥北端),商务金融用地,房屋和土木工程业,0.125122,拍卖出让,40,248.0000,下限:上限:3.00,2020年08月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0efd43ac-d460-4ba0-8a54-fd03ece93bfa,2020-08-24 18:38:40
名山县,杰伶雅苑三期,名山城区蒙顶山大道,城镇住宅用地,房地产业,4.051943,拍卖出让,70,17625.9521,下限:1.00上限:2.50,2020年08月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1aab0a64-8172-4952-b5d2-09c66de2c743,2020-08-24 18:38:43
成都市本级,金牛区营门口街道茶店子村2、5、6组住宅项目,金牛区营门口街道茶店子村2、5、6组,城镇住宅用地,房地产业,2.694225,拍卖出让,70,145486.8000,下限:1.00上限:3.00,2020年08月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=90a41fb0-e6c1-4e36-b00d-ee7fa386f733,2020-08-24 18:38:45
龙泉驿区,成都华侨城锦华投资有限公司,龙泉驿区东安湖片区董郎路以西、环湖南路以北,商务金融用地,文化、体育和娱乐业,5.439418,拍卖出让,40,8369.6746,下限:上限:1.00,2020年08月20日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ea3139e1-8a92-4cc1-911a-f3ad9daea523,2020-08-24 18:38:47
广汉市,广汉市城乡建设发展有限公司,小汉镇,公用设施用地,建筑业,1.336160,挂牌出让,50,400.8480,下限:1.00上限:,2020年08月19日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=522c3d64-6c32-4573-bca0-b71862136d97,2020-08-24 18:38:50
