车型ID,车辆型号,图片,车系ID,车系名称,车系名称,车系别称,年份,生产状态,销售状态,,论坛,车辆级别,外观颜色,厂商指导价,参考价,优惠幅度,保修政策,排量,发动机,,档位,变速箱类型,最高车速km/h,,,年份,车身型式,动力类型,车长/mm,车宽/mm,车高/mm,轴距/mm,整车质量/kg,座位数,行李箱容积/L,邮箱容积/L,前轮胎规格,后轮胎规格,备胎,保修政策,,,,,,,,行李箱容积/L,,,,,排量/ml,排量/L,最大功率/kW,最大马力/Ps,最大功率转速,最大扭矩,最大扭矩转速,发送机型式,发动机缸数,发动机方式,供油方式,,燃油标号,发动机启停,变速箱类型,档位个数,最高车速,0-100km/h加速时间[s],混合工况油耗[L/100km],环保标准,,,,,,,,,,,,,,,,,,,,驱动方式,前悬挂类型,后悬挂类型,可调悬挂,前轮制动类型,后轮制动类型,驻车制动类型,车体结构,限滑差速器/差速锁,,,,,,,,,,,,防抱死ABS,制动力分配(EBD/CBC等),制动辅助(BA/EBA等),牵引力控制(ASR/TCS等),车身稳定控制(ESP/DSC等),主驾驶安全气囊,副驾驶安全气囊,前侧气囊,后侧气囊,侧安全气帘,膝部气囊,安全带气囊,后排中央气囊,胎压监测,零胎压续行轮胎,后排儿童座椅接口,定速巡航,车道保持,碰撞报警/主动刹车,疲劳提醒,自动泊车,遥控泊车,自动驾驶辅助,自动驻车,上坡辅助,陡坡缓降,夜视系统,可变齿比转向,前倒车雷达,后倒车雷达,倒车影像,驾驶模式选择,,前大灯,LED日间行车灯,自动大灯,前雾灯,大灯功能,天窗类型,前电动车窗,后电动车窗,外后视镜电动调节,,内后视镜自动防眩目,流媒体内后视镜,流媒体外后视镜,外后视镜自动防眩目,隐私玻璃,前雨刷器,后雨刷器,电吸门,电动侧滑门,电动行李厢,车顶行李架,中控锁,智能钥匙,远程遥控功能,,,,,内饰材质,车内氛围灯,遮阳板化妆镜,方向盘材质,多功能方向盘,方向盘调节,方向盘加热,方向盘换挡,前排空调,后排空调,,,,,座椅材质,运动风格座椅,主座椅电动调节,副座椅电动调节,主座椅调节方式,副座椅调节方式,第二排座椅电动调节,第二排座椅调节方式,前排座椅功能,后排座椅功能,前排中央扶手,后排中央扶手,第三排座椅,座椅放倒方式,后排杯架,后排折叠桌板,中控彩色液晶屏,全液晶仪表盘,行车电脑显示屏,HUD平视显示,GPS导航,,车载APP应用,手机互联(Carplay&Android),手机无线充电,手势控制系统,CD/DVD,蓝牙/WIFI连接,外接接口,,音响品牌,"扬声器数量[个] 
",,车载220V电源,液晶屏尺寸 ,,,
135021,Plus 1.5L 手动 全景乐享版,https://img3.bitautoimg.com/autoalbum/files/20190802/537/201908021453265326100433_2.jpg,1798,Polo,Polo,boluo,2019,在产,在销,,http://baa.bitauto.com/polo/,小型车,"皇家蓝,#103E96|梵高金,#c0a342|罗曼红,#CB1929|珠光银,#D9DEE0|极地白,#ffffff",9.99万,6.99-9.99万,3.00万,3年或10万公里,1.5,自然吸气,,5,手动,190,18,6,2019,两厢,汽油,4053,1740,1449,2564,1145,5,310,43,185/65 R15,185/65 R15,非全尺寸,3年或10万公里,,,,,,,,1003,,,,,1498,1.5,83,113,6000,145,3900,直列,4,自然吸气,多点电喷,,92号,有,手动,5,190,12,5.5,国六,,,,,,,,,,,,,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,鼓式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,无,无,无,无,卤素,无,无,无,高度调节,单天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,手动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,全部放倒,无,无,无,无,有,无,无,无,无,无,无,无,无,蓝牙,USB,无,无,2月4日,无,无,,无,无,无
135022,Plus 1.5L 手自一体 全景乐享版,https://img4.bitautoimg.com/autoalbum/files/20190826/115/20190826144410441020199_2.jpg,1798,Polo,Polo,boluo,2019,在产,在销,,http://baa.bitauto.com/polo/,小型车,"皇家蓝,#103E96|梵高金,#c0a342|罗曼红,#CB1929|珠光银,#D9DEE0|极地白,#ffffff",10.99万,7.69-10.99万,3.30万,3年或10万公里,1.5,自然吸气,,6,手自一体,185,18,6,2019,两厢,汽油,4053,1740,1449,2564,1190,5,310,43,185/65 R15,185/65 R15,非全尺寸,3年或10万公里,,,,,,,,1003,,,,,1498,1.5,83,113,6000,145,3900,直列,4,自然吸气,多点电喷,,92号,有,手自一体,6,185,13,5.5,国六,,,,,,,,,,,,,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,鼓式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,无,无,有,无,卤素,无,无,无,高度调节,单天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,手动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,全部放倒,无,无,无,无,有,无,无,无,无,无,无,无,无,蓝牙,USB,无,无,2月4日,无,无,,无,无,无
134060,Plus 1.5L 手自一体 炫彩科技版,https://img3.bitautoimg.com/autoalbum/files/20190508/327/201905082015371537170648_2.jpg,1798,Polo,Polo,boluo,2019,在产,在销,,http://baa.bitauto.com/polo/,小型车,"皇家蓝,#103E96|梵高金,#c0a342|罗曼红,#CB1929|珠光银,#D9DEE0|极地白,#ffffff",11.59万,8.11-11.59万,3.48万,3年或10万公里,1.5,自然吸气,,6,手自一体,185,18,6,2019,两厢,汽油,4053,1740,1449,2564,1190,5,310,43,185/65 R15,185/65 R15,非全尺寸,3年或10万公里,,,,,,,,1003,,,,,1498,1.5,83,113,6000,145,3900,直列,4,自然吸气,多点电喷,,92号,有,手自一体,6,185,13,5.5,国六,,,,,,,,,,,,,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,鼓式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,定速巡航,无,有,无,无,无,无,无,有,无,无,无,无,有,无,有,无,卤素,无,无,无,高度调节,单天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,手动空调,无,无,无,无,无,织物皮质混合,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,全部放倒,无,无,触控式液晶屏,无,有,无,无,无,无,"CarPlay,CarLife,手机互联",无,无,无,蓝牙,"USB,SD卡槽",无,"无,Beats|0","2-4,7-8|0",无,无,6.5,无,无,无
130067,Plus 1.5L 手自一体 Beats潮酷版,https://img1.bitautoimg.com/autoalbum/files/20190528/608/2019052820473547351605_2.jpg,1798,Polo,Polo,boluo,2019,在产,在销,,http://baa.bitauto.com/polo/,小型车,"皇家蓝,#103E96|梵高金,#c0a342|罗曼红,#CB1929|珠光银,#D9DEE0|极地白,#ffffff",12.39万,8.67-12.39万,3.72万,3年或10万公里,1.5,自然吸气,,6,手自一体,185,18,6,2019,两厢,汽油,4053,1740,1449,2564,1190,5,220,43,195/55 R16,195/55 R16,非全尺寸,3年或10万公里,,,,,,,,913,,,,,1498,1.5,83,113,6000,145,3900,直列,4,自然吸气,多点电喷,,92号,有,手自一体,6,185,13,5.5,国六,,,,,,,,,,,,,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,鼓式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,定速巡航,无,有,无,无,无,无,无,有,无,无,无,有,有,"无,后方影像|0",有,无,卤素,有,"自动开闭,转向辅助灯",有,高度调节,单天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,感应雨刷,后雨刷,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,"塑料,皮质|0",有,"上下调节,前后调节",无,无,手动空调,无,无,无,无,无,织物皮质混合,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,全部放倒,无,无,触控式液晶屏,无,有,无,"无,GPS导航|0,实时路况|0",无,"无,语音控制|0","CarPlay,CarLife,手机互联",无,无,无,蓝牙,"USB,SD卡槽",无,Beats,7月8日,无,无,"6.5,8.0|0",无,选配,无
128664,e-Golf,https://img4.bitautoimg.com/autoalbum/files/20180329/699/201803290720502050129475_2.jpg,5350,高尔夫 纯电动(进口),高尔夫 纯电动(进口),gaoerfuchundiandong,2018,在产,在销,,http://baa.bitauto.com/,紧凑型车,"海潮蓝,#033770|鹅卵白,#ffffff",24.08万,13.88-26.82万,5.60万,3年或10万公里,,,,,单速变速箱,150,21,3,2018,两厢,纯电,4270,1799,1482,2631,1573,5,341,,205/55 R16,205/55 R16,无备胎,3年或10万公里,,,,,,,,1231,,0,,,,,,,,,,,,,,,,,单速变速箱,,150,9.6,,,100,290,100,290,,,36,6,0.7,13.6,255,,,,,,,,,前轮驱动,麦弗逊式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,有,无,无,有,无,有,定速巡航,无,无,无,无,无,无,有,无,无,无,无,有,有,后方影像,有,无,LED,有,"自动开闭,自动转向",无,高度调节,无,有,有,"电动调节,电动折叠,后视镜加热",,有,无,有,无,无,感应雨刷,后雨刷,无,无,无,无,遥控中控,"智能进入,无钥匙启动",无,无,无,无,,"塑料,皮质",有,有,皮质,有,"上下调节,前后调节",无,无,双温区自动空调,手动空调,无,有,无,无,皮质,无,无,无,"靠背调节,高低调节,腰部调节,前后调节","靠背调节,高低调节,腰部调节,前后调节",无,无,加热,无,有,有,无,按比例放倒,有,无,触控式液晶屏,有,有,无,GPS导航,有,语音控制,"CarPlay,CarLife",无,无,单碟cd,蓝牙,"AUX,USB,SD卡槽",无,无,7月8日,无,无,8,无,,
138936,4.0T 顶配版,https://img3.bitautoimg.com/autoalbum/files/20191214/435/2019121417011611625032_2.jpg,5999,奥迪RS Q8,奥迪RS Q8,aodirsq8,2020,待产,待销,,http://baa.bitauto.com/,中大型SUV,"灰色,#808080",无,无,,,,,,,,,,,,SUV,汽油,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132611,1.8PH GS 精英版,https://img3.bitautoimg.com/autoalbum/files/20190218/610/201902181518471847210149_2.jpg,5591,雷凌 双擎E+,雷凌 双擎E+,leilingshuangqinge,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"炫晶黑,#000000|天际蓝,#003575|琉璃蓝,#2494BA|星云紫,#7F4680|水晶银,#85898A|珊瑚红,#AE2124|珍珠白,#ffffff",20.38万,14.53-19.78万,4.18万,3年或10万公里,1.8,自然吸气,,无,E-CVT无级变速,,11,3,2019,三厢,插电混合,4645,1775,1480,2700,1510,5,,40,205/55 R16,205/55 R16,非全尺寸,3年或10万公里,,,,,,,,,,1,10.8,,1798,1.8,73,99,0,142,0,直列,4,自然吸气,多点电喷,,92号,无,E-CVT无级变速,无,,,1.3,国六,53,207,53,207,,,11,3,0,19.1,55,,,100,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,无,无,无,无,有,无,有,无,无,无,无,无,无,无,无,有,无,无,无,无,无,无,有,无,LED,无,无,有,高度调节,无,有,有,电动调节,,无,无,无,无,无,有,无,无,无,无,无,遥控中控,无钥匙启动,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,自动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,无,无,有,无,无,无,无,无,无,无,单碟cd,无,"AUX,USB",无,无,5月6日,无,无,,无,无,无
132612,1.8PH GS 精英风尚版,https://img2.bitautoimg.com/autoalbum/files/20190524/139/2019052420055655615020_2.jpg,5591,雷凌 双擎E+,雷凌 双擎E+,leilingshuangqinge,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"炫晶黑,#000000|天际蓝,#003575|琉璃蓝,#2494BA|星云紫,#7F4680|水晶银,#85898A|珊瑚红,#AE2124|珍珠白,#ffffff",20.98万,15.13-20.38万,4.18万,3年或10万公里,1.8,自然吸气,,无,E-CVT无级变速,,11,3,2019,三厢,插电混合,4645,1775,1480,2700,1535,5,,40,205/55 R16,205/55 R16,非全尺寸,3年或10万公里,,,,,,,,,,1,10.8,,1798,1.8,73,99,0,142,0,直列,4,自然吸气,多点电喷,,92号,无,E-CVT无级变速,无,,,1.3,国六,53,207,53,207,,,11,3,0,19.1,55,,,100,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,无,无,无,无,无,无,无,无,有,无,无,无,无,无,无,有,无,LED,无,无,有,高度调节,单天窗,有,有,电动调节,,无,无,无,无,无,有,无,无,无,无,无,遥控中控,无钥匙启动,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,自动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,无,无,有,无,无,无,无,无,无,无,单碟cd,无,"AUX,USB",无,无,5月6日,无,无,,无,无,无
132932,1.8PH GS 精英天窗版,https://img2.bitautoimg.com/autoalbum/files/20191120/156/20191120303_2.jpg,5591,雷凌 双擎E+,雷凌 双擎E+,leilingshuangqinge,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"炫晶黑,#000000|天际蓝,#003575|琉璃蓝,#2494BA|星云紫,#7F4680|水晶银,#85898A|珊瑚红,#AE2124|珍珠白,#ffffff",21.28万,15.43-20.68万,4.18万,3年或10万公里,1.8,自然吸气,,无,E-CVT无级变速,,11,3,2019,三厢,插电混合,4645,1775,1480,2700,1535,5,,40,205/55 R16,205/55 R16,非全尺寸,3年或10万公里,,,,,,,,,,1,10.8,,1798,1.8,73,99,0,142,0,直列,4,自然吸气,多点电喷,,92号,无,E-CVT无级变速,无,,,1.3,国六,53,207,53,207,,,11,3,0,19.1,55,,,100,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,无,无,无,无,无,无,无,无,有,无,无,无,无,无,后方影像,有,无,LED,无,无,有,高度调节,单天窗,有,有,电动调节,,无,无,无,无,无,有,无,无,无,无,无,遥控中控,无钥匙启动,无,无,无,无,无,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,自动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,触控式液晶屏,无,有,无,GPS导航,无,无,CarLife,无,无,无,蓝牙,"AUX,USB",无,无,5月6日,无,无,8,无,无,无
132606,1.8PH V 豪华版,https://img3.bitautoimg.com/autoalbum/files/20200315/607/20200315453_2.jpg,5591,雷凌 双擎E+,雷凌 双擎E+,leilingshuangqinge,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"炫晶黑,#000000|天际蓝,#003575|琉璃蓝,#2494BA|星云紫,#7F4680|水晶银,#85898A|珊瑚红,#AE2124|珍珠白,#ffffff",21.88万,16.03-21.28万,4.18万,3年或10万公里,1.8,自然吸气,,无,E-CVT无级变速,,11,3,2019,三厢,插电混合,4645,1775,1480,2700,1540,5,,40,205/55 R16,205/55 R16,非全尺寸,3年或10万公里,,,,,,,,,,1,10.8,,1798,1.8,73,99,0,142,0,直列,4,自然吸气,多点电喷,,92号,无,E-CVT无级变速,无,,,1.3,国六,53,207,53,207,,,11,3,0,19.1,55,,,100,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,无,后方影像,有,无,LED,无,无,有,高度调节,单天窗,有,有,电动调节,,无,无,无,无,无,有,无,无,无,无,无,遥控中控,"智能进入,无钥匙启动",无,无,无,无,无,塑料,无,有,皮质,有,"上下调节,前后调节",无,无,自动空调,无,无,无,无,无,皮质,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,触控式液晶屏,无,有,无,GPS导航,无,无,CarLife,无,无,无,蓝牙,"AUX,USB",无,无,5月6日,无,无,8,无,无,无
