2020-08-11 20:01:58,515 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:01:58.512961
2020-08-11 20:01:59,548 | model_koubei.py | INFO  | 2480 3788 已获取跳过!
2020-08-11 20:01:59,665 | model_koubei.py | INFO  | 程序结束时间：2020-08-11 20:01:59.664723
2020-08-11 20:01:59,665 | model_koubei.py | INFO  | 程序执行用时：0:00:01.151762s
2020-08-11 20:02:21,495 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:02:21.493473
2020-08-11 20:02:22,515 | model_koubei.py | INFO  | 2480 3788口碑数据获取中...
2020-08-11 20:02:31,537 | model_koubei.py | INFO  | 车系：2480 3788 口碑：1328533 数据获取中...
2020-08-11 20:02:31,789 | model_koubei.py | INFO  | 2480 3788 口碑：1328533 数据保存成功!
2020-08-11 20:02:31,789 | model_koubei.py | INFO  | 车系：2480 3788 口碑：537148 数据获取中...
2020-08-11 20:02:32,231 | model_koubei.py | INFO  | 2480 3788 口碑：537148 数据保存成功!
2020-08-11 20:02:32,232 | model_koubei.py | INFO  | 车系：2480 3788 口碑：487451 数据获取中...
2020-08-11 20:02:32,509 | model_koubei.py | INFO  | 2480 3788 口碑：487451 数据保存成功!
2020-08-11 20:02:32,510 | model_koubei.py | INFO  | 车系：2480 3788 口碑：228930 数据获取中...
2020-08-11 20:02:32,761 | model_koubei.py | INFO  | 2480 3788 口碑：228930 数据保存成功!
2020-08-11 20:02:33,167 | model_koubei.py | INFO  | 车系：2480车型口碑ID列表获取完成。
2020-08-11 20:02:33,169 | model_koubei.py | INFO  | 2480 3788 口碑数据获取完成!
2020-08-11 20:02:34,259 | model_koubei.py | INFO  | 程序结束时间：2020-08-11 20:02:34.259954
2020-08-11 20:02:34,260 | model_koubei.py | INFO  | 程序执行用时：0:00:12.766481s
2020-08-11 20:10:57,443 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:10:57.441802
2020-08-11 20:11:02,657 | model_koubei.py | INFO  | 程序结束时间：2020-08-11 20:11:02.657268
2020-08-11 20:11:02,658 | model_koubei.py | INFO  | 程序执行用时：0:00:05.215466s
2020-08-11 20:11:41,659 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:11:41.658177
2020-08-11 20:11:46,242 | model_koubei.py | INFO  | 程序结束时间：2020-08-11 20:11:46.242218
2020-08-11 20:11:46,243 | model_koubei.py | INFO  | 程序执行用时：0:00:04.584041s
2020-08-11 20:12:33,076 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:12:33.075291
2020-08-11 20:12:37,479 | model_koubei.py | INFO  | 程序结束时间：2020-08-11 20:12:37.478214
2020-08-11 20:12:37,479 | model_koubei.py | INFO  | 程序执行用时：0:00:04.402923s
2020-08-11 20:13:44,086 | model_koubei.py | INFO  | 程序开始时间：2020-08-11 20:13:44.084461
2020-08-11 20:13:48,342 | model_koubei.py | INFO  | 3788 博越口碑数据获取中...
2020-08-11 20:13:56,105 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3091227 数据获取中...
2020-08-11 20:13:56,523 | model_koubei.py | INFO  | 3788 博越 口碑：3091227 数据保存成功!
2020-08-11 20:13:56,523 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3093005 数据获取中...
2020-08-11 20:13:56,954 | model_koubei.py | INFO  | 3788 博越 口碑：3093005 数据保存成功!
