省份,市,区县,店铺名,地址,坐标,电话
安徽省,合肥市,肥东县,向阳消防器材,和平路与钢材大道交叉口西南200米,"117.411462,31.834917",13505613058
安徽省,合肥市,巢湖市,消防器材经销处,龟山路12-20号,"117.869442,31.612414",0551-82314951
安徽省,合肥市,巢湖市,暂无数据,暂无数据,"117.875245,31.605055",18326021731
安徽省,合肥市,蜀山区,消防器材ABB,望江西路88号南七(复鑫)建材市场E3-15号,"117.244151,31.832337",0551-62380058
安徽省,合肥市,瑶海区,双安消防器材,北一环路与新蚌埠路立交交叉口东100米,"117.292597,31.880358",0551-65623819
安徽省,合肥市,包河区,上为信消防器材,丰汇钢材市场3号,"117.327303,31.827850",18756028211
安徽省,合肥市,巢湖市,暂无数据,暂无数据,"117.882793,31.608894",0551-82335305
安徽省,合肥市,包河区,五州消防器材,安徽国际五金机电商贸城三期B区24幢109号,"117.322393,31.825884",0551-62785451;13856962119
安徽省,合肥市,瑶海区,玉龙消防器材,临泉东路安徽大市场7区1745号,"117.327537,31.876729",13856970088;18705511189
安徽省,合肥市,包河区,暂无数据,暂无数据,"117.321301,31.826699",0551-62786584;15255155328
安徽省,合肥市,瑶海区,暂无数据,暂无数据,"117.327708,31.876738",0551-62182190
安徽省,合肥市,包河区,暂无数据,暂无数据,"117.322067,31.826997",15256956119
安徽省,合肥市,包河区,合肥警诚消防器材经营部,淝河镇东二环路安徽五金商贸城,"117.320228,31.826792",0551-62762531;13866735007
安徽省,合肥市,瑶海区,合肥市瑶海区勤峰消防器材成套,轻工商城8幢107号,"117.294240,31.881757",13965030731
安徽省,合肥市,瑶海区,市盛安消防器材,铜陵路高架桥与铜陵路高架桥出口交叉口东北50米,"117.323506,31.866469",13805699036
安徽省,合肥市,包河区,暂无数据,暂无数据,"117.322859,31.825181",0551-62785739;18214759778
安徽省,合肥市,庐阳区,向阳消防,寿春路158号(百花宾馆对面),"117.287322,31.867449",4008365119
安徽省,合肥市,庐阳区,合肥亨通消防安全器材公司,安庆路233号建材大楼1层,"117.273632,31.862388",0551-62824208
安徽省,合肥市,庐阳区,合肥安盾消防公司,蒙城北路109号,"117.278196,31.881881",0551-65520871;13605600971
