省份,市,区县,店铺名,地址,坐标,电话
黑龙江省,哈尔滨市,香坊区,暂无数据,暂无数据,"126.706753,45.739798",13313662119
黑龙江省,哈尔滨市,双城区,消防器材大全,腾达大街公安楼一号商服,"126.298236,45.381868",13303658119
黑龙江省,哈尔滨市,南岗区,龙华消防器材,第二方圆里18号,"126.663346,45.747567",18845157119
黑龙江省,哈尔滨市,道外区,龙安消防器材,南直路513号,"126.704285,45.778327",0451-57622119;13603644119
黑龙江省,哈尔滨市,道外区,润兴消防器材,太古街333号,"126.652889,45.782137",0451-88114500
黑龙江省,哈尔滨市,南岗区,顺通消防器材,文德街18-4号,"126.653358,45.744254",0451-51079119
黑龙江省,哈尔滨市,香坊区,盛安消防器材,三大动力路和三合路交口179号,"126.668453,45.713884",0451-82920977
黑龙江省,哈尔滨市,道里区,万胜消防器材,抚顺街道安心街56号,"126.622840,45.759760",0451-84312451
黑龙江省,哈尔滨市,道外区,双安消防器材,南直路街道南直路294号,"126.707985,45.760746",0451-87316119;0451-87316110;15734500119
黑龙江省,哈尔滨市,南岗区,聚安消防器材,南直路148号,"126.707702,45.743719",18545193119
黑龙江省,哈尔滨市,南岗区,暂无数据,暂无数据,"126.664597,45.745842",13845045019;13936685887
黑龙江省,哈尔滨市,方正县,顺通消防器材,方正镇物华街154号,"128.830475,45.847719",13054265976
黑龙江省,哈尔滨市,道外区,暂无数据,暂无数据,"126.704419,45.774990",18845155119
黑龙江省,哈尔滨市,南岗区,吉安消防器材(第二方圆里),第二方园里11-5号,"126.664492,45.746057",13945151168
黑龙江省,哈尔滨市,尚志市,暂无数据,暂无数据,"127.964103,45.210527",13339510119
黑龙江省,哈尔滨市,双城区,胜阳消防器材,丽景·和园101栋,"126.317363,45.387484",18249156156
黑龙江省,哈尔滨市,延寿县,暂无数据,暂无数据,"128.322198,45.449073",13263556123
黑龙江省,哈尔滨市,香坊区,恒安消防器材,六顺街212-2号,"126.673954,45.733653",13134519993;0451-55168957
黑龙江省,哈尔滨市,南岗区,军丰消防器材,黄河路188-14号,"126.694143,45.755089",13936316488
黑龙江省,哈尔滨市,道外区,永安邶消防器材,道太古街35号,"126.663783,45.786633",0451-88995018
黑龙江省,哈尔滨市,南岗区,中宣保安消防器材,中宣街15号,"126.665559,45.744154",13936107500
黑龙江省,哈尔滨市,道外区,玉海消防器材总汇,南市街道太古街183号,"126.659430,45.784092",13796097795
黑龙江省,哈尔滨市,道外区,永安邺消防器材,太古街35号,"126.663788,45.786645",0451-88995018
黑龙江省,哈尔滨市,南岗区,润凯消防器材,建平路7号楼9号,"126.630344,45.685132",15124684800
黑龙江省,哈尔滨市,道外区,金洋消防器材,禧龙大街禧龙五金建材批发市场东19街区1层,"126.757357,45.761963",0451-83381119;13633600133
黑龙江省,哈尔滨市,松北区,国安消防器材,松北街道世博路1434号,"126.526854,45.810955",17055756119
黑龙江省,哈尔滨市,五常市,暂无数据,暂无数据,"127.167590,44.901655",15945763678
黑龙江省,哈尔滨市,尚志市,福安消防器材经销中心,华农装饰材料市场-1栋9号,"127.986306,45.216128",13684554368
黑龙江省,哈尔滨市,道外区,暂无数据,暂无数据,"126.756418,45.772081",13904815119
黑龙江省,哈尔滨市,通河县,消安消防器材,隆达路11号楼附近,"128.749172,45.983170",15846154888
黑龙江省,哈尔滨市,南岗区,军安消防器材,西大直街336号,"126.618098,45.735683",0451-86311878
黑龙江省,哈尔滨市,木兰县,木兰县剑安消防器材,S101(振兴大街),"128.038649,45.954397",15945144499
黑龙江省,哈尔滨市,依兰县,哈尔滨依安警用消防器材,三姓路888-8号,"129.577108,46.321179",15546206119;18045640909
黑龙江省,哈尔滨市,道里区,文熙消防器材,四方台大道262号中兴城,"126.556974,45.716880",15304504345
黑龙江省,哈尔滨市,南岗区,安诚消防器材,铁路街与和兴十一道街口,"126.605586,45.728514",0451-51054232;13936403339
黑龙江省,哈尔滨市,道外区,暂无数据,暂无数据,"126.663369,45.786096",0451-88979247
黑龙江省,哈尔滨市,道外区,宏顺达交通消防器材,石材一路附近,"126.758950,45.762250",15331940567;18346588119
黑龙江省,哈尔滨市,呼兰区,暂无数据,暂无数据,"126.544129,45.865149",0451-88125657;18746152119
黑龙江省,哈尔滨市,道外区,宇安消防器材经销处,道东北新街160号,"126.665109,45.794991",15846117119;13144506119
黑龙江省,哈尔滨市,巴彦县,龙武消防器材经销处,人民大街与龙江路交叉口西150米,"127.393736,46.081332",13199450961
黑龙江省,哈尔滨市,南岗区,鸿业消防器材,复旦路14-6号哈药小区10号楼4单位101室,"126.604869,45.695988",18045158119
黑龙江省,哈尔滨市,道外区,家宝消防器材设备批发部,东北新街97号,"126.664329,45.795153",15046777786
黑龙江省,哈尔滨市,巴彦县,巴彦县三合消防器材,人民大街与龙江路交叉口西100米,"127.394759,46.081536",13644519908
黑龙江省,哈尔滨市,香坊区,安赢消防器材经销处,五叙街88号,"126.676879,45.733619",13654567803
黑龙江省,哈尔滨市,香坊区,庆顺龙消防器材经销处,香福路99-3号,"126.763117,45.727664",17171785858
黑龙江省,哈尔滨市,阿城区,盛鑫消防器材经销处,阿什河街道会宁路371号,"126.980291,45.540471",0451-57846888
黑龙江省,哈尔滨市,双城区,双城区消防器材有限责任公司,人民医院急救中心西北(150县道),"126.297836,45.381791",0451-53115980;13303658119
黑龙江省,哈尔滨市,双城区,暂无数据,暂无数据,"126.323077,45.370430",13503667119
黑龙江省,哈尔滨市,道外区,暂无数据,暂无数据,"126.658549,45.784718",0451-88987260
黑龙江省,哈尔滨市,南岗区,友利消防,第二方圆里11-15号,"126.664868,45.745822",0451-82609919
黑龙江省,哈尔滨市,南岗区,暂无数据,暂无数据,"126.665719,45.744262",0451-87203119
黑龙江省,哈尔滨市,香坊区,宏达消防(南直路店),南直路26号,"126.706434,45.738481",15045062662;13845079905
黑龙江省,哈尔滨市,五常市,五常市安保消防安全器材销售中心,五常镇建设大街724号,"127.152118,44.917034",15124553345
