省份,市,区县,店铺名,地址,坐标,电话
山西省,太原市,杏花岭区,消防器材,大同路20号附近,"112.547816,37.893946",13935163713
山西省,太原市,娄烦县,消防器材,北大街与石响沟街交叉路口东南侧,"111.789807,38.065380",13453186253
山西省,太原市,杏花岭区,暂无数据,暂无数据,"112.573059,37.888973",13603581119
山西省,太原市,迎泽区,暂无数据,暂无数据,"112.545752,37.846129",0351-4062757;13834158566
山西省,太原市,万柏林区,消防器材,旧晋祠路民盛精品物贸城f区,"112.523339,37.823470",13593189691;15234009606
山西省,太原市,迎泽区,暂无数据,暂无数据,"112.572537,37.839681",0351-4294971;13935128921
山西省,太原市,杏花岭区,消防器材(北大街),北大街147号,"112.555799,37.888512",0351-3032009;13546711178
山西省,太原市,万柏林区,泰兴消防器材,漪汾桥西西渠路61号,"112.527084,37.869702",0351-3235598;13073508586
山西省,太原市,晋源区,消防器材批发,龙山街,"112.466352,37.739564",18221697964
山西省,太原市,杏花岭区,暂无数据,暂无数据,"112.573669,37.891297",0351-3282168;13934139818
山西省,太原市,迎泽区,强盛消防器材,水西关南街30号汾东公寓对面省委大楼后面,"112.542477,37.862067",18234070320
山西省,太原市,小店区,消防器材交通设施,通达西街11号,"112.562719,37.730146",18935159160
山西省,太原市,万柏林区,消防器材交通设施,普国路九润物贸城12排1号,"112.474846,37.878811",13623618275;15303511257
山西省,太原市,万柏林区,建安消防器材,九润物贸东排8号,"112.474900,37.877822",15935137363
山西省,太原市,小店区,暂无数据,暂无数据,"112.561510,37.741379",15333601375
山西省,太原市,万柏林区,美林消防器材,漪汾街71号,"112.512678,37.873649",0351-6275000;0351-6275111;13803491431
山西省,太原市,万柏林区,阀门管件消防器材,新晋祠路与晋祠路交叉口西100米,"112.530534,37.835306",13934570745
山西省,太原市,清徐县,智海消防器材公司,东边路110附近,"112.276270,37.593582",13935183189
山西省,太原市,晋源区,暂无数据,暂无数据,"112.505107,37.795795",13453124119;13453187953
山西省,太原市,晋源区,川消消防器材,晋祠路东150米,"112.508490,37.798428",0351-6696550;0351-6696551;13994203143
山西省,太原市,迎泽区,百盛消防器材超市,双塔西街东坡斜巷40号,"112.568809,37.844596",0351-3339333;15835113906
山西省,太原市,小店区,新星消防器材,汾东北路新世纪花园底商,"112.560425,37.737162",13834519398
山西省,太原市,晋源区,广威消防器材有限公司(山西省总经销),旧晋祠路南堰新万水物贸城五区80号,"112.510218,37.798692",0351-6105640;13643511089
山西省,太原市,小店区,暂无数据,暂无数据,"112.578427,37.724558",0351-4399215;0351-4399216;13834209217
山西省,太原市,古交市,古交市锋安消防器材经销部,金牛大街52号正东方向50米,"112.171760,37.905331",15383416119
山西省,太原市,万柏林区,太原市鸿山消防器材有限公司,和平南路79号,"112.509288,37.847293",13803404089
山西省,太原市,晋源区,太原市晋源区锦辉消防器材销售处,南堰新万水物贸城南外区9号,"112.508180,37.798195",13613419551
山西省,太原市,小店区,暂无数据,暂无数据,"112.552868,37.836432",13623666246
山西省,太原市,杏花岭区,消防大全,胜利东街7号,"112.576823,37.894265",0351-3425410;0351-8930636;13934140318
山西省,太原市,晋源区,太原润达消防,南堰万水物贸城一区57号,"112.509575,37.801341",19935129119;15135092119
山西省,太原市,万柏林区,锐安消防,和平南路179号附近,"112.511773,37.843257",0351-6337588
山西省,太原市,杏花岭区,星火消防,胜利街38号金海湾洗浴会所院内北沙河北沿岸,"112.576043,37.893771",0351-3281869;0351-3073128
山西省,太原市,尖草坪区,安泰交通设施消防设施,解放北路126号附近,"112.559796,37.904032",15934046246
山西省,太原市,小店区,山西鑫汇江消防器材有限公司,体育西路6号长风画卷A座2-1701,"112.565244,37.816522",15513058933
山西省,太原市,杏花岭区,太原市华拓鑫消防器材有限公司,双龙巷与教场巷交叉口东北100米,"112.578314,37.873970",13703515002
山西省,太原市,杏花岭区,太原市鸿运星消防器材有限公司,享堂路8号,"112.574990,37.896810",0351-3281869
山西省,太原市,小店区,山西润通消防器材有限公司,荣军北街10-5汇景通公司边上,"112.601011,37.783842",13603512305
山西省,太原市,清徐县,太原市清徐高白华泽消防器材有限公司,东于镇水屯营村,"112.285935,37.602416",0351-5790011
山西省,太原市,杏花岭区,太原市吉锐达消防器材修配厂,北大街13号院,"112.572355,37.888335",15503625119
山西省,太原市,万柏林区,暂无数据,暂无数据,"112.476170,37.878254",18835191688
山西省,太原市,晋源区,鸿辉消防超市,南堰万水物贸城五区79号,"112.509771,37.798677",15383611119
山西省,太原市,杏花岭区,太原彤翔商贸有限公司,北大街201号,"112.547302,37.888640",0351-3231733;13603567226
山西省,太原市,迎泽区,山西平乐消防工程有限公司,大南门迎泽大街省直贸易大楼北50米,"112.558000,37.860687",13453198119
山西省,太原市,杏花岭区,暂无数据,暂无数据,"112.594815,37.874660",13700542335
山西省,太原市,晋源区,金仓消防,万水物贸城,"112.511306,37.797804",0351-6849661;15934158119
山西省,太原市,小店区,暂无数据,暂无数据,"112.627504,37.771592",18003430115
山西省,太原市,晋源区,消防水暖阀门,晋祠路万水物贸城3区66号,"112.507618,37.798400",0351-5677356;0351-2619706;13994232128
山西省,太原市,晋源区,山东博山水泵,义井街道旧晋祠路万水物贸城4区,"112.514773,37.797083",0351-6696170;0351-6696750;13753130037
山西省,太原市,迎泽区,暂无数据,暂无数据,"112.545749,37.845935",13835148983
山西省,太原市,尖草坪区,暂无数据,暂无数据,"112.562339,37.910939",18535126161
山西省,太原市,晋源区,五金劳保,晋祠路东100米,"112.508918,37.798827",0351-6696795;15834002501
山西省,太原市,晋源区,山西众成消防设备有限公司,万水物贸城内,"112.509725,37.798090",15110340119
山西省,太原市,小店区,山西安信消防技术有限公司,综改区学府园区科技街13号新岛科技园A座608,"112.559369,37.797336",0351-7531688
山西省,太原市,迎泽区,山西安旭消防科技有限公司,水西门街32号,"112.554083,37.864171",15201047329
山西省,太原市,清徐县,太原市高白消防设备有限公司,进喜路,"112.270783,37.606550",0351-5790406
山西省,太原市,万柏林区,山西毅圣数智消防股份有限公司,迎泽西大街南寒圣都馨佳园9号楼26号,"112.468225,37.853893",0351-6072158
山西省,太原市,小店区,暂无数据,暂无数据,"112.651789,37.794792",13643517119
山西省,太原市,晋源区,山西鑫峰源消防设备有限公司,南堰新万水物贸城7区21号,"112.511186,37.798791",15386996119
山西省,太原市,小店区,山西并安消防设施检测有限公司,并州南路1号附近,"112.571927,37.838328",0351-7965199
山西省,太原市,万柏林区,祥舜卫浴阀门消防,普国装饰城16排12号,"112.474648,37.866040",0351-2868058
山西省,太原市,尖草坪区,山西安弘检测技术有限公司,不锈钢园区C区消防队南侧,"112.577336,37.979100",13835114401
山西省,太原市,晋源区,太原市联源消防建材商贸部,南堰万水物贸城6区A50号,"112.510582,37.798163",18635191385;15835443989
山西省,太原市,晋源区,暂无数据,暂无数据,"112.510060,37.800957",17303417119
山西省,太原市,晋源区,鑫源水暖批发部,南堰新万水物贸城4区14号,"112.511157,37.801544",13466880056
山西省,太原市,小店区,太原市百盛消防器材有限公司消防器材修理厂,东润国际新城26号楼1015,"112.624101,37.801520",0351-3339333;0351-4083759;13934142779
山西省,太原市,万柏林区,瑞兴消防建材经销部,滨河物贸中心A2排13号,"112.481756,37.865507",0351-6827827;18636944001
山西省,太原市,小店区,消防交通器材,汾东北路与昌盛西街交叉路口往北约100米,"112.560576,37.737316",13834519398
山西省,太原市,晋源区,北消安全设备(北京)有限公司,南堰万水物贸城9号门南内区25号,"112.509833,37.798127",15903409119;18703519789
山西省,太原市,万柏林区,暂无数据,暂无数据,"112.526193,37.832544",13403514048;13466865839
山西省,太原市,迎泽区,诚圣消防,建设南路301号,"112.586007,37.841207",0351-4290178;13753475411
山西省,太原市,晋源区,暂无数据,暂无数据,"112.509775,37.797995",0351-6105645;13546466119;18234056119
山西省,太原市,晋源区,川泰消防,暂无数据,"112.514940,37.797143",13643461500;15203417275
山西省,太原市,小店区,百盛消防,许坦东街1014号,"112.624077,37.801541",13934142779
山西省,太原市,晋源区,鸿安消防,暂无数据,"112.512440,37.800559",0351-6696070
山西省,太原市,晋源区,三团消防,晋祠路东150米,"112.510215,37.798305",0351-6696459;13099073898
山西省,太原市,杏花岭区,惠威消防,大东关街道北大街新开巷1号3-4号楼,"112.581865,37.888827",0351-3184444
山西省,太原市,阳曲县,金盾消防,大运路城市假日8号楼西侧小二楼,"112.670265,38.060540",0351-5591666
山西省,太原市,晋源区,晟达消防,长风商务区长兴南街与旧晋祠路交叉口向东100m,"112.512540,37.801702",13233416588;13007083559
山西省,太原市,晋源区,宏盛消防,晋祠路二段168号附近,"112.511716,37.799976",0351-6849751;18636855322
山西省,太原市,尖草坪区,云龙消防,红星锦绣家园19号楼B8005号,"112.511884,37.904978",0351-3981886;18636826153
山西省,太原市,晋源区,三星消防,义井街道旧晋祠路南堰新万水物贸城南内区49号,"112.511779,37.797686",0351-6849618;13803412340
山西省,太原市,尖草坪区,暂无数据,暂无数据,"112.528885,37.960036",0351-3373199
山西省,太原市,小店区,诺安消防(太原店),西温庄乡武宿村聚美瑞机电城17栋9号,"112.654876,37.756316",17635187610
山西省,太原市,尖草坪区,暂无数据,暂无数据,"112.505600,37.939404",13754886119
山西省,太原市,万柏林区,盛世安邦消防工程,和平南路十二院城95号楼6单元302,"112.509280,37.839490",18635597228
山西省,太原市,尖草坪区,太原市尖草坪区消防救援大队,柴村金桥西街1号,"112.505600,37.939404",13754886119
山西省,太原市,晋源区,根淼消防,义井街道新万水物贸城南外区70号,"112.513670,37.797157",0351-6849390;18634313119
山西省,太原市,迎泽区,山西省消防救援总队,桃园南路59号,"112.544776,37.847245",0351-3658119
山西省,太原市,尖草坪区,敏华应急消防,和平北路鑫佳源市场E区18号,"112.506301,37.911269",13835122096
山西省,太原市,小店区,科创城消防站,西温庄乡正阳街经一路,"112.619205,37.723178",19935339346
山西省,太原市,万柏林区,山西消防职业培训学校,义井神堂沟龙泉山庄西侧,"112.477971,37.804187",0351-6342118;4001169119
山西省,太原市,万柏林区,奇兵交通消防,晋祠路51号,"112.523015,37.822941",18535188597;18535188598
山西省,太原市,万柏林区,暂无数据,暂无数据,"112.479440,37.867542",0351-3429991;0351-3429992
山西省,太原市,杏花岭区,暂无数据,暂无数据,"112.564499,37.893625",13333518953
山西省,太原市,阳曲县,阳曲县森林消防专业队(东山分队),杨兴村,"112.891164,38.240025",0351-5573616
山西省,太原市,迎泽区,太原政安消防科教中心,五一路173号晓山大厦9层901,"112.573630,37.870230",0351-4043119;13603552083
山西省,太原市,晋源区,暂无数据,暂无数据,"112.514940,37.797143",15203417275;13643461500
山西省,太原市,晋源区,山西胜辉消防超市,南堰万水物贸城4区79号,"112.509783,37.799384",0351-6849751
山西省,太原市,晋源区,暂无数据,暂无数据,"112.510280,37.799052",0351-7066119;0351-7068119
山西省,太原市,晋源区,鑫诚信源消防二部,晋祠路新万水物贸城南内区69号,"112.513959,37.797309",18035132979
山西省,太原市,晋源区,福建金扇消防设备有限公司,暂无数据,"112.511147,37.799104",15603411119;18535135354
山西省,太原市,晋源区,润泽(大地)消防山西省店,南吴街南外区54号,"112.512456,37.797414",13633512119
山西省,太原市,万柏林区,万兴消防玛钢沟槽管件批发部,普国路九润物贸城13排南12号,"112.475668,37.878174",18734164104
山西省,太原市,小店区,暂无数据,暂无数据,"112.565225,37.817848",15513058933
