省份,市,区县,店铺名,地址,坐标,电话
辽宁省,沈阳市,法库县,消防器材,法库镇小东街惠民医院路北,"123.423488,42.509776",15524136119
辽宁省,沈阳市,铁西区,福安消防器材,西站市场十一区二号,"123.323331,41.783239",024-25716119
辽宁省,沈阳市,沈河区,暂无数据,暂无数据,"123.463501,41.787322",024-24812228
辽宁省,沈阳市,沈河区,暂无数据,暂无数据,"123.443350,41.795315",15804077333
辽宁省,沈阳市,沈河区,暂无数据,暂无数据,"123.443891,41.805788",024-88555495;13840011163
辽宁省,沈阳市,康平县,洪亮消防器材,暂无数据,"123.353912,42.731962",13478154789
辽宁省,沈阳市,铁西区,三鲸消防器材,艳粉街56巷-6号-2门,"123.353341,41.772203",024-25934119;15040028119
辽宁省,沈阳市,铁西区,天顺消防器材,保工南街1号-2门,"123.355869,41.799539",024-25648686;13079239119;024-25870732
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.355883,41.799629",024-25640609;13604011408
辽宁省,沈阳市,铁西区,亿万消防器材交通设施,绣工东街2号1-1-1(门市),"123.357814,41.799267",13190008885
辽宁省,沈阳市,苏家屯区,沈阳市苏家屯区消防器材经销处,香柏路17号-2门,"123.326983,41.660600",024-89116888
辽宁省,沈阳市,沈北新区,盾权消防器材,通顺街33-2号A区07号,"123.562405,41.893690",13555807563
辽宁省,沈阳市,浑南区,双宇消防器材,浑南区五三街道嘉华新城东区北门,"123.490511,41.734695",13066508972
辽宁省,沈阳市,皇姑区,沈阳鑫旺消防器材工厂店,暂无数据,"123.452312,41.895901",13889809452
辽宁省,沈阳市,和平区,沈阳消防器材制造有限公司销售部,文体西路66栋9号,"123.417455,41.761618",024-23844565
辽宁省,沈阳市,铁西区,鑫盛翔消防器材大全,艳粉街56巷812门附近,"123.352428,41.772062",13019381419;18940095755
辽宁省,沈阳市,大东区,永安达消防器材,北海街203号沈阳水暖市场105号,"123.487068,41.814150",13889822958;024-62490378
辽宁省,沈阳市,皇姑区,沈阳市皇姑区蓉盛消防器材经销部,松花江街6号,"123.441244,41.823700",13066613420
辽宁省,沈阳市,铁西区,沈阳市来沃消防器材销售中心,保工南街10号,"123.353972,41.797781",13909839167;25604439
辽宁省,沈阳市,沈河区,卫士消防器材大全,大西路81号,"123.444559,41.795866",13654955518
辽宁省,沈阳市,铁西区,沈阳市铁西鸿安达消防器材经销处,南滑翔路与艳粉街56巷交汇处9-2-7,"123.351670,41.770793",024-25951119;024-25950602;13998268863
辽宁省,沈阳市,大东区,暂无数据,暂无数据,"123.503658,41.842240",13609889558
辽宁省,沈阳市,和平区,沈阳消防器材厂消防器材供应站,三好街文体西路104-5,"123.424848,41.761414",024-23843898;13940261782
辽宁省,沈阳市,沈河区,金城消防,奉天街191号,"123.441526,41.796616",024-81606888
辽宁省,沈阳市,铁西区,沈阳市铁西区新皓成消防器材经销中心,北二东路17-1号附近,"123.390376,41.800550",18104021119
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.355836,41.769380",024-25918119;15998357297
辽宁省,沈阳市,沈河区,暂无数据,暂无数据,"123.443774,41.796186",024-22939769
辽宁省,沈阳市,和平区,暂无数据,暂无数据,"123.417473,41.761655",024-23844565
辽宁省,沈阳市,沈北新区,沈阳城北消防器材厂,道义三街29号,"123.392432,41.919479",13840089119;024-89737119
辽宁省,沈阳市,沈河区,沈阳消防器材厂东区,方家栏路23号-1门,"123.50215,41.77181",024-24234846
辽宁省,沈阳市,于洪区,沈阳市强大消防器材厂,姚家村,"123.284586,41.827854",024-25359998;13998159678;13019345788
辽宁省,沈阳市,于洪区,沈阳市安检消防器材有限公司,吉力湖二街,"123.354020,41.756379",024-31590119
辽宁省,沈阳市,于洪区,沈阳泰兴消防器材有限公司,南阳湖街20-23号7门,"123.312370,41.757061",13709883988;13166660119
辽宁省,沈阳市,于洪区,沈阳民安消防器材有限公司,白山路52号5门,"123.393051,41.859792",024-86782119;024-86780119;13840589119
辽宁省,沈阳市,于洪区,沈阳山久消防器材有限公司,黄海路26号,"123.307261,41.794897",024-25303060;13804049950
辽宁省,沈阳市,铁西区,扬州扬子消防器材有限公司驻沈阳办,艳粉街56巷6号4门,"123.353279,41.772524",18624400700;18002407119
辽宁省,沈阳市,铁西区,安保消防,保工南街48号,"123.348454,41.790725",024-25426188;024-25426088;13909825472
辽宁省,沈阳市,铁西区,白沙消防,艳欣街46-1号11门,"123.347846,41.772117",18698822119
辽宁省,沈阳市,法库县,利洋消防,法库镇晓东街南锦绣蓝湾D区西门门市12号11门市利洋消防,"123.424477,42.497317",15330806688
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.352047,41.772199",13998853911;13166662900
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.350402,41.770129",13464023066;024-25931863
辽宁省,沈阳市,沈河区,交通消防,大西路73号,"123.445599,41.796180",13940115087
辽宁省,沈阳市,沈河区,南京板桥消防沈阳分公司,文艺路顺发巷3号-1号,"123.448071,41.778486",024-24187709
辽宁省,沈阳市,于洪区,暂无数据,暂无数据,"123.259894,41.814684",024-22979898;15840476988
辽宁省,沈阳市,法库县,康利源饮用纯净水,法库镇消防警官楼下,"123.422646,42.509787",024-87101115
辽宁省,沈阳市,大东区,暂无数据,暂无数据,"123.495048,41.825413",18640411702
辽宁省,沈阳市,铁西区,消防管业,艳粉街56巷与艳欣街交叉口东北方向100米,"123.348973,41.772640",024-81055119;15142545708
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.347821,41.771963",024-62327988;13940199330
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.351837,41.771051",024-85890621;13591434777
辽宁省,沈阳市,于洪区,建文消防管件,红兴路沈阳五洲国际工业博览城西北,"123.287288,41.849166",024-31267775
辽宁省,沈阳市,铁西区,双燕消防沟槽管件,腾飞二街58-1-8e号附近,"123.350756,41.770239",024-85890888;15840552404
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.348540,41.771162",024-25940216;024-25960033;13898836900
辽宁省,沈阳市,大东区,沈阳安吉消防工程公司,东北大马路与新生一街交叉口东50米,"123.484480,41.821434",024-88098119
辽宁省,沈阳市,铁西区,沈阳闽利消防阀门有限公司,滑翔五金城一期门市8-6B,"123.350565,41.770313",024-25940216;13898836900;024-25960033
辽宁省,沈阳市,皇姑区,沈阳市旭博消防管件经销处,鸭绿江北街金卓五金市场333号-311门,"123.471174,41.899836",13080889008;024-81158058
辽宁省,沈阳市,铁西区,荣盛达消防管件阀门批发中心,艳欣街48号1门(荣盛达消防管件沟槽批发中心),"123.348721,41.770350",18842473315
辽宁省,沈阳市,铁西区,玉环高温铜阀门消防管件,沈辽西路168号18-2门,"123.222385,41.727112",13940296786
辽宁省,沈阳市,于洪区,荣盛消防,暂无数据,"123.286421,41.848263",18842473315
辽宁省,沈阳市,于洪区,仁辉消防,五金工业园永康街2-2号,"123.234251,41.798117",024-24523333
辽宁省,沈阳市,于洪区,旺安消防工厂店,细河路101号5门,"123.345995,41.760780",13840507082;13840384223
辽宁省,沈阳市,于洪区,永乾消防库房,京哈高速公路,"123.287712,41.841799",13940293688
辽宁省,沈阳市,铁西区,暂无数据,暂无数据,"123.349683,41.771519",024-25950119;4000034119;13940504119
辽宁省,沈阳市,沈北新区,沈阳捷通消防车有限公司,道义街道蒲昌路67号,"123.469755,41.923833",024-53838134
