省份,市,区县,店铺名,地址,坐标,电话
青海省,西宁市,城东区,暂无数据,暂无数据,"101.789707,36.605580",0971-8266860
青海省,西宁市,城东区,消防器材,互助中路389-15号(中国石油中庄加油站隔壁),"101.817488,36.610913",0971-8124708;13997223239
青海省,西宁市,大通回族土族自治县,暂无数据,暂无数据,"101.684994,36.924334",13997318138
青海省,西宁市,城北区,暂无数据,暂无数据,"101.778363,36.637475",13997066121
青海省,西宁市,城北区,仁安消防器材,祁连路339-9号,"101.779554,36.636518",13997068199;13897647345
青海省,西宁市,城中区,尼特消防器材,滨河南路48号(省委家属院后门),"101.788671,36.630279",0971-8451032;13897268880
青海省,西宁市,城北区,润兴消防器材,祁连路339-9号,"101.779555,36.636518",13997068199;13897647345
青海省,西宁市,城东区,暂无数据,暂无数据,"101.797966,36.610575",13997153399
青海省,西宁市,城西区,聚梁氏消防器材,海湖路4-12号,"101.739220,36.643506",18997131983
青海省,西宁市,城东区,海安消防器材(共和路店),共和南路44-7号,"101.795611,36.608159",0971-8177286;13099768307
青海省,西宁市,城北区,西宁城北昶远消防器材经营部,宁大高速与朝阳西路交叉口东北200米,"101.769827,36.680219",0971-5508625
青海省,西宁市,城中区,金盾消防器材经营部,长江路5-35号,"101.781868,36.630515",13099787577
青海省,西宁市,城北区,青海安然消防器材经销部,国际五金区1626-1627号,"101.766248,36.667944",0971-8565911;0971-7922924;18309749090
青海省,西宁市,城北区,红强消防器材经营部,柴达木路466号青藏高原农副产品集散中心2号门对面,"101.656239,36.664875",18309718681
青海省,西宁市,城东区,保安消防报警器材(东关大街),东关大街与北小街交叉口东100米,"101.795013,36.617411",0971-6111621;15809716408
青海省,西宁市,城北区,友安消防公司,朝阳西路2-6号,"101.766917,36.643864",0971-4297113
青海省,西宁市,城东区,青海焱林消防器材保安有限公司,昆仑中路83-19号,"101.785643,36.609576",0971-8458853
青海省,西宁市,城中区,兴朋消防器材加工厂,暂无数据,"101.772867,36.590799",15003666838
青海省,西宁市,城北区,暂无数据,暂无数据,"101.771907,36.649173",0971-5507710;0971-5316556;18997389073
青海省,西宁市,城东区,利源海棉酒店用品劳保日杂消防交通垃圾桶定制,大西部商贸城外围34.35.36号,"101.819397,36.609859",18097206168
青海省,西宁市,城北区,阀门消防,朝阳东路27号金盘小区门口,"101.769569,36.650009",13086279088
青海省,西宁市,城北区,卡耐夫消防水暖,PVC区43-3号,"101.776018,36.651425",13623541001
青海省,西宁市,城北区,天虹水暖管件阀门消防管材,朝阳东路与朝阳二巷交叉口东北50米,"101.769712,36.648763",17689203555
青海省,西宁市,城东区,济南迈克管件,祁连路45-27号,"101.802101,36.626728",0971-8145523;13897187881
青海省,西宁市,城北区,五金标准件,朝阳东路54号朝阳新村北区中通快递隔壁,"101.770148,36.656699",18297135051;18297136601
青海省,西宁市,城北区,吉隆管件,朝阳东路26号朝阳机电市场C区,"101.772068,36.648352",0971-5501780;0971-5560015;18997071070
青海省,西宁市,城东区,青海速阳消防工程有限公司,泉景路20号四楼,"101.836974,36.573044",18697293278
青海省,西宁市,城北区,青海瀚润消防设施检测有限公司,生物科技变业园经四路26号10栋409号,"101.743179,36.678399",13997164091
青海省,西宁市,城中区,北京东方京安消防工程公司(西宁分公司),同安路33-39,"101.722673,36.557205",13522376419
青海省,西宁市,城北区,利欧水泵消防泵,朝阳东路5-12号,"101.770034,36.645930",0971-5135815;17797186193
青海省,西宁市,城北区,捷晟消防水暖,朝阳东路物产大厦,"101.771580,36.649176",0971-5506366;13897407076
青海省,西宁市,大通回族土族自治县,青海铭盾消防设备有限公司,长宁镇双庙村,"101.776565,36.725111",18109716789
青海省,西宁市,城西区,青海烨安消防工程有限公司,文景街37号27号楼2单元2122室,"101.708488,36.649810",15909710954
青海省,西宁市,城中区,中信消防工程有限公司西宁分公司,香格里拉路119附近,"101.760977,36.605787",18697293278
青海省,西宁市,城北区,沈发消防水暖,朝阳东路34一2号,"101.771086,36.649510",0971-5506356
青海省,西宁市,城北区,隆源水暖消防,朝阳东路陶瓷大世界484号,"101.772024,36.643291",18797397716;18797397718
青海省,西宁市,城北区,青海梓云消防安全工程有限公司,小桥大街171号,"101.754720,36.665435",0971-5225802
青海省,西宁市,城北区,百安消防阀门,朝阳东路园六路机电市场A区3号,"101.771922,36.649173",0971-6116119;0971-6261119
青海省,西宁市,城东区,西宁交通消防安防批发,南山路68号中惠国际机电城A11-13,"101.786620,36.596974",13195794446
青海省,西宁市,城西区,青海省国宏工程咨询监理有限公司,五四西路61号新华联国际中心2号公寓楼11/12层,"101.723176,36.642215",0971-4923316
青海省,西宁市,城东区,宁夏中房西宁物业,清真巷街道夏都大街190号,"101.793565,36.612143",0971-8132136
青海省,西宁市,城北区,迈克管件迈克阀门金牛地暖消防器材,朝阳东路与祁连路交叉口,"101.769080,36.641599",0971-7927068;13997273728;18597088668
青海省,西宁市,城东区,焱焱消防,共和南路18-4号,"101.797690,36.610237",15897082240
青海省,西宁市,城东区,西宁城东山河消防交通器材批发部,褚家营路西100米,"101.819620,36.612589",18797115150
青海省,西宁市,城北区,闽泰消防(祁连路店),祁连路与S1113宁贵高速出口交叉口东南50米,"101.774716,36.638055",0971-5506748;13897187988
青海省,西宁市,城北区,天兴消防,朝阳西路200号附近,"101.765765,36.666371",15809718069;0971-5513998
青海省,西宁市,城北区,兴龙消防,建国物流市场机电区16号,"101.774085,36.651768",13519781142
青海省,西宁市,城北区,朗通消防,朝阳街道建国物流建材市场机电区6号,"101.773998,36.651632",17716069119
青海省,西宁市,城西区,迅安消防器材维修部,园树巷10号,"101.758281,36.621024",13327651928
青海省,西宁市,城北区,天兴消防,朝阳西路200号附近,"101.765765,36.666371",15809718069;0971-5513998
青海省,西宁市,城北区,兴龙消防,建国物流市场机电区16号,"101.774085,36.651768",13519781142
青海省,西宁市,城北区,朗通消防,朝阳街道建国物流建材市场机电区6号,"101.773998,36.651632",17716069119
青海省,西宁市,城西区,江盛消防,五四大街66号16室,"101.758889,36.631585",0971-6155332
青海省,西宁市,城北区,盛平消防公司,祁连路369号,"101.776321,36.637676",0971-6122325;15202592066
青海省,西宁市,城北区,交通消防大全,柴达木路,"101.656247,36.664941",18309718681
青海省,西宁市,城东区,青海安邦消防培训学校,昆仑东路289号,"101.811770,36.591336",0971-8467300
青海省,西宁市,城北区,志诚消防公司,国际建材城1号楼(天峻桥下),"101.766452,36.665904",0971-5167119;18997201260
青海省,西宁市,城北区,志诚消防公司(祁连路),祁连路325-1号,"101.782640,36.635314",0971-5508760;13195790639
青海省,西宁市,城北区,伟兴消防阀门,建国物流机电区十一号,"101.773923,36.651689",15309719119;17609783407
青海省,西宁市,城西区,城西消防修理部,昆仑西路与西山一巷交叉口西50米,"101.757278,36.623756",13327653762
青海省,西宁市,城东区,宏业消防青海分公司,七一路246号,"101.798691,36.619367",0971-8147248
青海省,西宁市,城北区,鼎胜鑫消防设备批发,朝阳东路26号附近,"101.771103,36.649509",0971-5226890;13897407076
青海省,西宁市,城中区,暂无数据,暂无数据,"101.742629,36.570743",0971-6272832
青海省,西宁市,城北区,冀胜消防水暖,朝阳东路54号新村路口,"101.768675,36.656547",13997195576
青海省,西宁市,城东区,西宁市公安局交通警察支队东川中队,八一路街道东川工业园区金硅路2号,"101.902424,36.561878",0971-8013145
青海省,西宁市,城中区,西宁鑫奎消防设备有限公司,七一路459号2号楼1单元1241室,"101.790280,36.624430",15002640220
青海省,西宁市,城东区,清真雅澜居茶餐厅,共和南路12号消防队旁,"101.797847,36.610910",18109713833
