省份,市,区县,店铺名,地址,坐标,电话
陕西省,西安市,新城区,消防器材,兴工东路,"109.004415,34.284396",13259459119
陕西省,西安市,未央区,消防器材,北辰大道北段朱宏机电市场6号门东斜对面,"109.002129,34.381585",029-86483426;13991997507
陕西省,西安市,灞桥区,暂无数据,暂无数据,"109.007640,34.295941",15929931119
陕西省,西安市,长安区,暂无数据,暂无数据,"108.954990,34.143143",13186012119
陕西省,西安市,未央区,消防器材,辛王公路北寰机电市场6排5号,"109.004718,34.379053",13630222595
陕西省,西安市,莲湖区,消防器材,大庆路902号附近,"108.855210,34.268589",029-84623879;13572935962
陕西省,西安市,长安区,消防器材(韦曲北街),青年北街与韦曲北街交叉口东50米,"108.942902,34.161313",18091835449
陕西省,西安市,未央区,消防器材(蔺高新居东南),武警路附11号附近,"108.837377,34.274777",029-84530016;13992838795
陕西省,西安市,未央区,暂无数据,暂无数据,"108.850489,34.284799",13186130205
陕西省,西安市,碑林区,消防器材,南二环159号瑞鑫电子市场E9,"108.918352,34.235948",13319187439
陕西省,西安市,周至县,暂无数据,暂无数据,"108.226200,34.160593",18221697964
陕西省,西安市,未央区,消防器材批发,向阳路与阳光大道交叉口,"108.980527,34.405215",18221697964
陕西省,西安市,未央区,消防器材批发,启源一路与芸辉路交叉口,"108.996015,34.398966",18221697964
陕西省,西安市,未央区,消防器材批发,北辰路与学府南路交叉口,"108.995428,34.371962",18221697964
陕西省,西安市,未央区,秦北消防器材,大明宫钢材阀门交易中心A区5排10号,"108.991309,34.366710",029-86729636;13909264109;13571928850
陕西省,西安市,阎良区,宇航消防器材,前进东路柳家村关中环线一号,"109.256001,34.669559",17802933565
陕西省,西安市,鄠邑区,暂无数据,暂无数据,"108.611757,34.115286",13991277767
陕西省,西安市,蓝田县,暂无数据,暂无数据,"109.307427,34.169888",15991658528
陕西省,西安市,雁塔区,信源消防器材,雁塔西路162号,"108.935516,34.217814",18392551269
陕西省,西安市,长安区,暂无数据,暂无数据,"108.949403,34.159911",13572298012;18066743119
陕西省,西安市,未央区,兴龙消防器材,北辰吉祥水暖五金机电市场8排28号,"109.004780,34.381429",13909201737
陕西省,西安市,阎良区,暂无数据,暂无数据,"109.239348,34.666945",13474101268;13991977758
陕西省,西安市,鄠邑区,为民消防器材(北极路店),七一西路与北极路交叉口南100米,"108.604145,34.118858",15353690566;13572911289
陕西省,西安市,鄠邑区,暂无数据,暂无数据,"108.607116,34.119161",18392483993
陕西省,西安市,莲湖区,西安灭火器消防器材,自强西路237号,"108.931270,34.282458",13201662517
陕西省,西安市,未央区,秦北消防器材,北辰大道大明威斯特B排1号,"108.995172,34.349169",029-86729636;029-89165119;13909264109
陕西省,西安市,周至县,暂无数据,暂无数据,"108.224778,34.157985",13772075306
陕西省,西安市,未央区,陕西信普消防器材,北三环大明宫建材市场管业B区4排14号,"108.975094,34.370723",18302977726
陕西省,西安市,未央区,暂无数据,暂无数据,"108.994992,34.349043",15829399119;17791790619
陕西省,西安市,未央区,暂无数据,暂无数据,"108.971770,34.366019",029-86718465;13700225444
陕西省,西安市,鄠邑区,暂无数据,暂无数据,"108.653084,34.199625",18392119119
陕西省,西安市,未央区,万兴消防器材批发,北辰路与渭青路交叉口西南150米,"108.994736,34.349064",13772529501;18092570919
陕西省,西安市,长安区,金义达消防器材,靖宁路与韦曲北街交叉口东南100米,"108.920143,34.163327",13720421188;13152180297
陕西省,西安市,雁塔区,西安市雁塔消防器材零售服务,健康西路214号,"108.935328,34.214445",029-85263044;13992809454
陕西省,西安市,碑林区,暂无数据,暂无数据,"108.958515,34.235457",15339165548;15991613638
陕西省,西安市,长安区,长安消防器材服务中心,皂河路261号,"108.944502,34.149230",13325489565
陕西省,西安市,未央区,暂无数据,暂无数据,"108.995029,34.348860",029-86624873
陕西省,西安市,雁塔区,长盛消防器材,含光路南段与明德一路交叉口东北100米,"108.932095,34.207274",15877553099
陕西省,西安市,未央区,暂无数据,暂无数据,"108.806773,34.300408",13679176459
陕西省,西安市,未央区,陕西合胜消防器材经销部,北三环管业A区5排5-6号,"108.975710,34.370609",029-89168046;13991143357
陕西省,西安市,碑林区,陕西长江消防器材有限公司,南二环东段39号武警医院对面,"108.984899,34.238710",029-82243311
陕西省,西安市,阎良区,西平消防器材劳保用品,前进东路与前进西路交叉口西100米,"109.228456,34.666172",15809298733
陕西省,西安市,未央区,广威消防器材有限公司(陕西办事处),北三环五金机电水暖灯具批发市场1排13-14号,"108.970336,34.369504",029-86610868;18091591082
陕西省,西安市,碑林区,暂无数据,暂无数据,"108.972633,34.252517",029-89318448;13659252328
陕西省,西安市,雁塔区,暂无数据,暂无数据,"108.931179,34.204957",18049572483
陕西省,西安市,灞桥区,西安鸿鑫消防器材经销部,港兴路196号附近,"109.050421,34.363713",13891905820
陕西省,西安市,未央区,苍龙消防器材交通设施(三桥店),三桥建材市场B区15排2-3号,"108.838584,34.280862",029-89301558;13572537366
陕西省,西安市,雁塔区,臻盾消防器材经销处,西八里姑娘村214号,"108.934637,34.211983",029-83704785
陕西省,西安市,雁塔区,暂无数据,暂无数据,"108.931936,34.207697",15702950119
陕西省,西安市,雁塔区,灭火器消防器材批发部,乐游东路57号,"108.972193,34.225515",13193345491
陕西省,西安市,长安区,祥跃消防器材配送中心,滨河大道东段,"108.962320,34.138039",13088952882
陕西省,西安市,未央区,西安市未央区金扇消防器材经销部,灞浦四路吉祥水暖机电市场副1排27-28号,"109.004600,34.380601",13772529501;18092570919
