省份,市,区县,店铺名,地址,坐标,电话
河南省,郑州市,中牟县,消防器材,贸易区406栋10号,"114.014077,34.737742",13383868809
河南省,郑州市,金水区,消防器材,中州大道1172号,"113.726070,34.750698",19121435375
河南省,郑州市,管城回族区,消防器材,维新街4号,"113.673202,34.749968",19121435375
河南省,郑州市,金水区,消防器材,经八路11号院,"113.669081,34.775550",19121435375
河南省,郑州市,新郑市,消防器材,新梨街36号,"113.738226,34.361902",19121435375
河南省,郑州市,中原区,消防器材,秦岭路15号,"113.603596,34.759608",19121435375
河南省,郑州市,中原区,消防器材,工人路327号,"113.621060,34.724713",19121435375
河南省,郑州市,管城回族区,消防器材,城东路17号,"113.691180,34.739829",19121435375
河南省,郑州市,巩义市,消防器材,交通路3号,"112.977574,34.753867",13598051966
河南省,郑州市,中牟县,暂无数据,暂无数据,"113.910015,34.727248",15188338181;15515996572
河南省,郑州市,金水区,消防器材,索凌路与博颂路交叉口丰乐五金机电城12号楼,"113.634637,34.808850",13283869126
河南省,郑州市,中原区,消防器材,建设西路华山路西一百米路南,"113.598304,34.757330",13903832182
河南省,郑州市,新郑市,消防器材,双湖大道74号,"113.716101,34.610733",19121435375
河南省,郑州市,巩义市,消防器材(陇海路),安北二巷与陇海路交叉口南50米,"112.990928,34.744997",13849115561
河南省,郑州市,巩义市,消防器材,光明路12号附33号,"112.979081,34.761314",13213069119
河南省,郑州市,金水区,暂无数据,暂无数据,"113.775494,34.780772",13523503112
河南省,郑州市,二七区,消防器材,解放路143-5号,"113.662740,34.753247",13937108905
河南省,郑州市,惠济区,批发消防器材,双桥五金几点汽配城西高层11号,"113.591586,34.856503",13383836119
河南省,郑州市,巩义市,暂无数据,暂无数据,"113.000463,34.745094",13017698800
河南省,郑州市,管城回族区,兴达消防器材,龙湖镇百鸿机电市场北区Al区一排26-27,"113.675802,34.636466",13938252927
河南省,郑州市,新郑市,拓普消防器材,龙湖大道侯庄市场C9-9-10号,"113.673815,34.635184",0371-63889119;4008097119;15038155119
河南省,郑州市,登封市,暂无数据,暂无数据,"113.051809,34.450551",0371-62869119;13103869218
河南省,郑州市,登封市,金玉消防器材,守敬路与高庄老街交叉口西50米,"113.051513,34.450144",0371-62818119;13703905587
河南省,郑州市,新郑市,信源消防器材,玉前路276号,"113.755524,34.387777",13703822677;13608677059
河南省,郑州市,管城回族区,暂无数据,暂无数据,"113.691011,34.742943",0371-66369375;13939002049
河南省,郑州市,登封市,昌宁消防器材总汇,崇高路414号附近,"113.023778,34.464238",0371-62713866;17603861678
河南省,郑州市,金水区,成艺消防器材,青年路凤台路交叉口向南20米路西,"113.714040,34.741508",13213218861
河南省,郑州市,巩义市,永安消防器材,杜甫路,"112.971440,34.751868",13783509503
河南省,郑州市,登封市,暂无数据,暂无数据,"113.051460,34.450150",15517153666
河南省,郑州市,二七区,暂无数据,暂无数据,"113.663849,34.697525",19121435375;13674930119
河南省,郑州市,荥阳市,安佳消防器材,新310国道与万山路交叉口东150米路南,"113.388130,34.766527",15838032927
河南省,郑州市,中牟县,聚龙消防器材,官渡大街与城东路交叉口向东300米路北,"114.037489,34.718301",15890600107
河南省,郑州市,上街区,暂无数据,暂无数据,"113.306741,34.807158",13592572496
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.765225,34.385760",0371-62610885;13213229975
河南省,郑州市,登封市,中岳消防器材(守敬路),侯寨乡嵩山路,"113.051531,34.451030",15136296032;15838078668
河南省,郑州市,新郑市,海港消防器材店,阁老路88号,"113.723013,34.397179",13523038591
河南省,郑州市,登封市,暂无数据,暂无数据,"113.063465,34.437842",15303726871
河南省,郑州市,中原区,郑州光明消防器材,合欢街33号附近,"113.560068,34.797614",15136119288;0371-65325119
河南省,郑州市,荥阳市,暂无数据,暂无数据,"113.430794,34.794387",13673660119
河南省,郑州市,荥阳市,柳城消防器材经销部,五洲城一期a6-1110号,"113.416877,34.753437",18203616318;18939520882
河南省,郑州市,管城回族区,协力消防器材,未来路792-4号,"113.703888,34.735962",13598046386
河南省,郑州市,登封市,现代水利物资消防器材,颖河路与通达路交叉口向西100米路南,"113.026343,34.448374",17603859768
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.737525,34.613766",0371-65332617;13103815005
河南省,郑州市,新郑市,禹王消防器材公司,华南城三路与圭壁路交叉口北200米,"113.738348,34.597804",13783562328;13703866826
河南省,郑州市,管城回族区,红鹏消防器材,城东南路200路东,"113.694339,34.712348",18736062077;13673659455
河南省,郑州市,登封市,金海消防器材,守敬路31附近,"113.051787,34.450996",13103866969
河南省,郑州市,惠济区,腾扬消防器材经销处,江山路双桥五金机电汽配城B区10排,"113.591635,34.856723",15837130375
河南省,郑州市,新郑市,宇恒消防器材经销部,炎黄大道5巷与院前街交叉口西北50米,"113.770878,34.376691",0371-62610885
河南省,郑州市,新密市,暂无数据,暂无数据,"113.395894,34.527469",15838280822
河南省,郑州市,二七区,郑州润安消防器材,陇海路30号附6号,"113.651836,34.736676",13633800860
河南省,郑州市,新密市,红超消防器材经营部,密州大道附近,"113.409789,34.529047",15670620119
河南省,郑州市,新郑市,郑州市博睿消防器材商行,华南城9B1-450,"113.741481,34.596695",15038116265
河南省,郑州市,荥阳市,暂无数据,暂无数据,"113.404853,34.781655",0371-60250000;15837181305
河南省,郑州市,中牟县,郑州市净瓶消防器材厂(中牟办事处),官渡西路(中牟人力资源市场向西20米),"114.012600,34.721783",0371-62153119;13608672069
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.800656,34.496557",15188308339;15188361233
河南省,郑州市,二七区,郑州鹏程消防器材商行,京广快速路85附近,"113.658550,34.696262",0371-88810302;15936215361
河南省,郑州市,荥阳市,荥阳市民安消防器材经销中心,郑上路与庙王路交叉口往南50米路东民安消防,"113.333545,34.803594",18838184791;13140542288
河南省,郑州市,金水区,郑州光明消防器材,丰庆路与国基路交叉口北150米,"113.648790,34.820888",13526809288
河南省,郑州市,中原区,博晨消防器材商行,金马凯旋建材城首一层A3-28号,"113.528047,34.736611",13140033222
河南省,郑州市,新郑市,河南聚联消防器材有限公司,孟庄镇双湖大道六盛钢材东门里面20米路东,"113.737990,34.613023",0371-56262119;18003856886
河南省,郑州市,新密市,新密市青屏久泰消防器材门市部,开阳路349号,"113.378385,34.529289",13027796119
河南省,郑州市,新郑市,郑州百之汇消防器材有限公司,华南城11区B1-12,"113.745241,34.598617",13592449969
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.735855,34.604335",0371-56027119;13937175119
河南省,郑州市,二七区,消防器材,铭功路143-5号,"113.658291,34.761986",13653979886
河南省,郑州市,中牟县,河南万安消防器材有限公司,现代物流园二期西排14-15号,"113.901159,34.728689",15981828119
河南省,郑州市,管城回族区,郑州昕祺消防器材有限公司,商都路西周路北香江市场C区5栋9号,"113.750441,34.749229",15638235119
河南省,郑州市,管城回族区,暂无数据,暂无数据,"113.750572,34.748656",13938252920
河南省,郑州市,管城回族区,赛富特消防器材,黄河南路商都路香江市场C区4栋28号,"113.750276,34.749107",15638235119
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.739565,34.597767",13938218645
河南省,郑州市,中原区,河南权胜消防器材有限公司,翠竹街与雪松路交叉口公园道1号二期C座18层13室,"113.555163,34.818232",18639555554
河南省,郑州市,管城回族区,郑州市管城区浙安消防器材商行,紫东路与安徐庄中街交叉路口往西约100米,"113.702029,34.708535",0371-63234378;13783575629
河南省,郑州市,管城回族区,暂无数据,暂无数据,"113.663431,34.657717",13676902724
河南省,郑州市,中牟县,郑发消防器材销售有限公司,浩瀚物流园A区10排12号,"113.854537,34.743359",0371-55311731;15981828119
河南省,郑州市,荥阳市,郑州宏昂消防器材有限公司,五洲城A6-1098-1099号,"113.416784,34.753321",13283868661
河南省,郑州市,二七区,星安消防,淮河路街道淮河路淮北街交叉口向西十米路北,"113.636013,34.729107",0371-63346608;15136136608
河南省,郑州市,二七区,腾辉消防(赣江路店),长江路街道长江路与碧云路往南500米路东二七消防大队对面,"113.666098,34.703975",13673397893;13938442444
河南省,郑州市,新郑市,郑州中岳消防,华南城一路华南城1号交易广场东2门1B-006-007号,"113.729749,34.609566",13783659119;15638802788
河南省,郑州市,中牟县,暂无数据,暂无数据,"113.910015,34.727248",17630017119;18700390187
河南省,郑州市,新郑市,国捷消防,华南城9A-1-516-517,"113.740242,34.598342",13803713262
河南省,郑州市,登封市,登封市鸿安消防工程有限公司,守敬路消防大队对面566号,"113.051852,34.450662",15838371199
河南省,郑州市,中牟县,腾跃消防器材有限公司,商都大道消防队东邻,"114.004340,34.723621",15517502119
河南省,郑州市,荥阳市,郑州江泰消防器材有限公司,姚寨村,"113.233667,34.816589",13849016868
河南省,郑州市,惠济区,郑州市联防消防器材有限公司,兴隆铺路兴隆花园东100米,"113.620855,34.807043",13598410382
河南省,郑州市,荥阳市,郑州昌安消防器材有限公司,西邢村姚寨老学校,"113.234151,34.816673",13603992508
河南省,郑州市,管城回族区,暂无数据,暂无数据,"113.690647,34.703941",13783575629
河南省,郑州市,中牟县,河南保江消防器材有限公司,复兴路光阳路交叉口路西,"113.873089,34.737206",18738132119
河南省,郑州市,新郑市,郑州福泰消防器材有限公司,045乡道西150米,"113.749430,34.578980",18638506382
河南省,郑州市,中牟县,郑州睿安消防器材有限公司,城东路与陇海路交叉口路东,"114.033831,34.715098",15136469888
河南省,郑州市,管城回族区,郑州海溢消防器材有限公司,石化路6号,"113.710993,34.733343",0371-56022119;13803710687
河南省,郑州市,中牟县,郑州市柳城消防器材有限公司,白沙镇杜桥村工业园区,"113.881775,34.743680",0371-62388119;13837188609
河南省,郑州市,新郑市,河南国捷消防器材有限公司(分厂),中华路与107交叉口韩龙物流园1栋B12-B13号,"113.746780,34.581978",13803713926
河南省,郑州市,二七区,郑州市未燃消防器材有限公司,五里堡街道棉纺东路王立砦北街3号,"113.641000,34.758908",13603714387;13903815541
河南省,郑州市,中牟县,郑州昌之盛消防器材有限公司,航海路与前程路交叉口向西二百米路北华丰五金建材城A1区栋22号,"113.869077,34.720872",15938759137
河南省,郑州市,上街区,安太消防(济源路店),济源路东段安太消防,"113.306606,34.807170",13592460798;15837146878;13939051788
河南省,郑州市,中牟县,郑州市中岳消防器材有限公司中牟办事处,农林西巷与陇海路交叉口东50米,"114.021411,34.717372",0371-62159119;13938514332
河南省,郑州市,管城回族区,暂无数据,暂无数据,"113.751451,34.749770",0371-66525692;0371-66513119;13603845313
河南省,郑州市,荥阳市,朝阁消防技术,广武路站南路西五十米路南第四间,"113.399145,34.797107",13027781950
河南省,郑州市,新郑市,鑫兴消防,华南城7B区东一街95-96号,"113.737189,34.597186",13938219317
河南省,郑州市,惠济区,郑州鼎立信消防,双桥五金机电汽配城B区3排13-14号,"113.592904,34.857334",13838248628;13938210884
河南省,郑州市,中牟县,河南大伟消防设备有限公司,航海路与前程大道交叉口路西华丰五金机电市场2号馆1排08B,"113.869850,34.720063",13014502709
河南省,郑州市,新郑市,猛将消防工厂店,华南城11B区1-302、246号、247号,"113.745417,34.597676",18538558119
河南省,郑州市,新郑市,辽宁沈发消防,飞宇机电城9号楼106,"113.734036,34.614789",13674949119
河南省,郑州市,新郑市,暂无数据,暂无数据,"113.745169,34.599023",15515754119
河南省,郑州市,新郑市,四川胜捷消防设备制造有限公司河南总代理,龙湖镇华南城11区11B-1-287,"113.743922,34.597690",19139777119
