省份,市,区县,店铺名,地址,坐标,电话
吉林省,长春市,朝阳区,消防器材,开运街526号,"125.286906,43.873657",15584275616
吉林省,长春市,二道区,暂无数据,暂无数据,"125.382857,43.872556",0431-84640417;15948791119
吉林省,长春市,二道区,消防器材,洋浦大街凯利中心C3栋116号,"125.419885,43.895459",15044112254;13610791129
吉林省,长春市,宽城区,宏发消防器材,北安路与建设街交汇西10余米,"125.308238,43.896923",15844006119
吉林省,长春市,朝阳区,暂无数据,暂无数据,"125.293640,43.870734",13756062119
吉林省,长春市,宽城区,慧峰消防器材,凯旋路2678号(近凯旋花园),"125.318659,43.930769",18843178119;0431-86135119
吉林省,长春市,九台区,暂无数据,暂无数据,"125.847570,44.159549",0431-82323186;13843034230
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.257477,43.889230",0431-81045119;17743198119
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.267099,43.867499",18844108119
吉林省,长春市,公主岭市,暂无数据,暂无数据,"124.607255,43.803333",15643408088
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.317596,43.926532",15904411699
吉林省,长春市,南关区,暂无数据,暂无数据,"125.393517,43.856607",15804300555;15584367333
吉林省,长春市,二道区,利久消防器材,东盛大街与阜丰路交叉口西南50米,"125.376018,43.890023",13944134807
吉林省,长春市,九台区,帝王消防器材,九台街道龙凤花园8号楼,"125.837000,44.156719",15904472119
吉林省,长春市,宽城区,东新消防器材(北环城路店),北环城路57号附近,"125.322583,43.951257",13944128698;18843003133
吉林省,长春市,二道区,暂无数据,暂无数据,"125.364593,43.875163",0431-84974119
吉林省,长春市,绿园区,金亚消防器材,创业大街3185号,"125.238077,43.859100",18843188836;13500808141
吉林省,长春市,二道区,安泰消防器材(临河街店),临河街生产资料2257号,"125.363992,43.870292",13039049965;0431-87067577
吉林省,长春市,二道区,消防器材沟槽管件,惠工路中东生产资料市场16-16号,"125.387551,43.903941",0431-84749499;13844861788
吉林省,长春市,双阳区,暂无数据,暂无数据,"125.650170,43.525339",0431-84242028
吉林省,长春市,二道区,暂无数据,暂无数据,"125.364585,43.875986",0431-84915119
吉林省,长春市,南关区,暂无数据,暂无数据,"125.328458,43.867261",15943016000
吉林省,长春市,农安县,农安县全安消防器材批发,农安镇宝安路清真寺楼下,"125.182222,44.420583",0431-83270119;15844198559
吉林省,长春市,南关区,消防器材消防装备,宽东四马路62号,"125.348215,43.898990",0431-82881911;13504313700
吉林省,长春市,朝阳区,新通瑞消防器材,高新技术产业开发区超强街2282号,"125.228033,43.776428",18943687456
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.335756,43.915565",18943006119
吉林省,长春市,二道区,伯安消防器材经销处,洋浦大街6931附近,"125.418957,43.898083",15843016677
吉林省,长春市,朝阳区,暂无数据,暂无数据,"125.316364,43.873675",15948798889
吉林省,长春市,榆树市,秦合消防器材,三盛路与工农大街交叉口北50米,"126.546434,44.829875",15944090005
吉林省,长春市,双阳区,宏安消防器材经销处,丹江街与甲一路交叉口东100米,"125.651659,43.527165",0431-84258119
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.340918,43.930760",13756049543
吉林省,长春市,朝阳区,暂无数据,暂无数据,"125.308350,43.892883",0431-88965287
吉林省,长春市,公主岭市,暂无数据,暂无数据,"124.817223,43.511265",13894466119
吉林省,长春市,公主岭市,暂无数据,暂无数据,"124.820292,43.512226",15834480333;15834485233
吉林省,长春市,二道区,长春天丰消防器材办事处,洋浦大街d5-119号附近,"125.420574,43.897425",18626618119
吉林省,长春市,二道区,吉林省国安消防器材有限公司,东环城路与公平路交汇北行200米道西侧,"125.393211,43.872577",13596194599
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.255629,43.890002",15043034300
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.245900,43.879467",15043034300;13844162119
吉林省,长春市,榆树市,恒泰消防器材销售处,正阳街道工农大街个体客运站农业执法大队,"126.545551,44.827467",13844420119
吉林省,长春市,二道区,山东泰捷沟槽管件消防器材,临河街18-23号附近,"125.366825,43.869254",15948394555
吉林省,长春市,农安县,鹏安消防器材批发,农安镇宝安路清真寺北门,"125.182341,44.420585",0431-77730037;17790033311
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.317970,43.935010",18843178119
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.268555,43.891715",18943626268
吉林省,长春市,绿园区,长春市鑫正明消防器材经销处,洛阳街以西高力汽贸城F8-122号,"125.246134,43.879418",0431-81278837;13943003869
吉林省,长春市,二道区,暂无数据,暂无数据,"125.402856,43.876248",18643116455
吉林省,长春市,南关区,南关区恒安消防器材销售维修处,吉顺街东胡同108,"125.341268,43.876138",13804320082
吉林省,长春市,二道区,长春市红威消防器材有限公司经销处,金色家园2栋101,"125.391102,43.955923",13341410119
吉林省,长春市,二道区,炫昱消防器材交通标志,东环城路与公平路交汇处北行50米道西,"125.393212,43.872582",13904317133
吉林省,长春市,公主岭市,暂无数据,暂无数据,"124.788834,43.491025",13304356366
吉林省,长春市,朝阳区,安吉消防工程消防器材,光谷大街1033号附近,"125.255962,43.837690",0431-85515626;13304326770
吉林省,长春市,榆树市,暂无数据,暂无数据,"126.549679,44.827665",0431-88011999
吉林省,长春市,公主岭市,吉林省力湃消防器材有限公司,荣超建材市场5栋23号,"124.837573,43.527483",15044433331
吉林省,长春市,朝阳区,安保消防交通器材,建设街与崇智路交汇,"125.307568,43.894873",13504301434;0431-88968332
吉林省,长春市,绿园区,美亚消防,正阳街道和平大街1479号,"125.254229,43.888247",0431-86805119;0431-88803399
吉林省,长春市,德惠市,暂无数据,暂无数据,"125.696694,44.530846",13069122059;0431-81731733;15044373553
吉林省,长春市,朝阳区,白山消防器材经销维修厂,前进大街湖光路5号,"125.285389,43.845161",13304326770;0431-85515626;13314307078
吉林省,长春市,绿园区,长春市振兴消防器材有限公司,泰来街9号,"125.289298,43.882657",17390998010;0431-85517492
吉林省,长春市,绿园区,长春慧奘消防器材有限公司,腾飞大路111号君瑞天城二区30号楼104号,"125.198152,43.832248",13578629993
吉林省,长春市,朝阳区,长春市春旺消防器材有限公司,暂无数据,"125.269797,43.859017",0431-85922929
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.317706,43.926424",15904411699
吉林省,长春市,绿园区,暂无数据,暂无数据,"125.257030,43.888659",0431-87675222
吉林省,长春市,二道区,暂无数据,暂无数据,"125.364271,43.869078",15143082342
吉林省,长春市,南关区,暂无数据,暂无数据,"125.348128,43.879185",0431-88612006
吉林省,长春市,宽城区,暂无数据,暂无数据,"125.316696,43.950099",18543114662;13844887071
吉林省,长春市,二道区,泉南消防,正茂生产资料1栋12号,"125.395890,43.891389",18743008009
吉林省,长春市,绿园区,百姓消防标牌劳保用品公司,东风大街4211号,"125.226081,43.848066",0431-85773976
吉林省,长春市,南关区,暂无数据,暂无数据,"125.342701,43.883380",13179137535;18686676088
吉林省,长春市,二道区,消防水泵,洋浦大街凯利国际工业品交易中心D15-109,"125.419953,43.898232",0431-89647126;13843057795;17790072627
吉林省,长春市,朝阳区,美联消防,高新技术开发区双德乡高新区蔚山路创立街205号三楼,"125.259079,43.809816",0431-82005885
吉林省,长春市,二道区,诚安消防五金机电,7栋9号,"125.365494,43.869041",13943036231;15843120119
吉林省,长春市,绿园区,鼎新消防,高力汽贸城F区8栋122号鼎新消防,"125.246257,43.879447",0431-81278837;18186822219
吉林省,长春市,二道区,永乾消防建支管件,临河街2385号,"125.363949,43.869005",13634306779;0431-85875999;4000126779
吉林省,长春市,二道区,腾达消防腾达电气(公平路店),吉林街道公平西路130号,"125.362239,43.871102",0431-87067782
吉林省,长春市,二道区,鑫广威消防电线电缆,临河街2197号,"125.364019,43.870838",0431-85875982
吉林省,长春市,二道区,亨通消防,临河街生产资料市场9-栋35号,"125.365891,43.868482",15143166686
吉林省,长春市,二道区,华安消防,凯利中心C12-103,"125.419938,43.897618",15526646388
